sample	date	PC1	PC2	distance_to_centroid	mean_distance_to_background	shannon_mean	simpson_mean	pielou_mean	dominant_taxon	dominant_taxon_pct	cyanobacteria_algae_score_pct	cyanobacteria_phylum_pct_classified_reads	classification_suggested	objective_score	Season	final4_vs_rest	final5_vs_rest	expanded_vs_background
S_21_10_22	2021-10-22	-0.056970846726198496	0.039102454171571044	0.06909905425503171	0.12963357198421113	5.998142318122507	0.9867860547120252	0.7962134841534428	Desulfosarcina	6.670658123165116	3.2308526294182274	3.710678769096127	background	0	Autumn	rest	rest	background
S_21_12_20	2021-12-20	-0.004334624762081698	0.01708314635532829	0.017624496055933567	0.11749462714974855	5.941477448341982	0.9860847022467288	0.7907515785296374	Desulfosarcina	6.955374537867979	4.866767913847853	5.547012231609155	background	0	Winter	rest	rest	background
S_22_02_24	2022-02-24	-0.08679201785898352	0.02350912508117151	0.08991959367188156	0.13928876104557575	5.952215926067325	0.984872103657965	0.792392091284546	Desulfosarcina	9.066572781768425	2.371174946332572	2.698300561922512	background	1	Winter	rest	rest	background
S_22_04_28	2022-04-28	-0.042769653856511304	-0.006358450380792675	0.0432397176476766	0.12433625072066277	5.933175035538883	0.9851308652133238	0.7915435203193969	Desulfosarcina	7.883936023963938	3.4669913301954387	4.084917926447603	background	0	Spring	rest	rest	background
S_22_06_29	2022-06-29	-0.08837519737480096	-0.0966380600030523	0.130954534675927	0.19575837459159096	5.849466410898441	0.9782996112354456	0.7770122441857831	Homo	12.766570932792417	0.941412392704846	1.1898088023927909	background	1	Summer	rest	rest	background
S_22_09_09	2022-09-09	-0.019015692911004516	0.05732905160931884	0.06040046966133268	0.13453292715397752	5.993978599073945	0.9867136348960084	0.7977394079986023	Desulfosarcina	7.410557545522105	4.661789972392464	5.896302873005841	background	0	Autumn	rest	rest	background
S_22_10_21	2022-10-21	0.02198005227455564	-0.07615899807144504	0.07926736835065591	0.16164635902198365	6.140665626250637	0.9921529757277244	0.8173015216807397	Pseudomonas	4.9952505528044675	3.589398309698554	3.812033899767611	background	0	Autumn	rest	rest	background
S_22_12_16	2022-12-16	0.0813453950025486	-0.04989785071333584	0.09542991561313995	0.17233359559650036	5.956760691387699	0.9898075476032354	0.7941204381814387	Homo	5.6072098919276	7.01987775630935	7.905906107833162	background	0	Winter	rest	rest	background
S_23_04_20	2023-04-20	-0.0971521109748729	0.0006661324596906906	0.09715439464752933	0.1421842048687507	5.949026356957798	0.9843292132988588	0.7915086724660355	Desulfosarcina	9.263889120065132	2.0606537281085835	2.446690918025157	background	1	Spring	rest	rest	background
S_23_07_03	2023-07-03	-0.06535799858249529	0.08308153606768001	0.10570813409607924	0.14885037031067802	5.964215123195115	0.9841584496681428	0.7928235167593666	Desulfosarcina	9.411683875712896	3.4561438984712938	4.290344477649875	background	1	Summer	rest	rest	background
S_23_09_06	2023-09-06	-0.026453563199665214	0.03166267120987676	0.04125912934252782	0.11150261191519509	5.9483344121080615	0.9853519025997688	0.7912628678034541	Desulfosarcina	7.659919296140687	3.7471982869095353	4.623014977673165	background	0	Autumn	rest	rest	background
S_23_10_25	2023-10-25	0.034900945769669636	-0.01502067626726107	0.03799600941076945	0.14208984547439418	5.852147074252247	0.98547773094218	0.7790328814127152	Homo	6.721797145588971	4.2780040901544965	4.883757719205086	background	1	Autumn	rest	rest	background
S_24_01_04	2024-01-04	-0.021068923676615683	0.008979829817074892	0.02290277032227071	0.11383825279438539	6.00544583603713	0.987401556838354	0.7991501929045008	Desulfosarcina	6.264638313900038	2.5683650496748642	3.073348413692688	background	0	Winter	rest	rest	background
S_24_03_04	2024-03-04	-0.05910045454863403	0.016902772968693594	0.06147005337468283	0.114537845742955	5.962584050544771	0.9852955184443282	0.793178467888036	Desulfosarcina	8.086099442598275	2.2751328897170597	2.745278076560093	background	0	Spring	rest	rest	background
S_24_04_16	2024-04-16	0.030728388312830562	-0.10152883054369237	0.10607703464875845	0.1691054154479095	6.047941645864039	0.9910861669673482	0.8095654506900013	Homo	5.022040053286894	4.774451831848847	5.209847154045993	background	0	Spring	rest	rest	background
S_24_07_05	2024-07-05	0.008258022428195556	-0.01541972742392693	0.017491796027074673	0.1250265159653854	5.981232277491202	0.9875328517381372	0.79687515055307	Homo	6.644982402347795	3.0247839329861486	3.6477657144478735	background	0	Summer	rest	rest	background
S_24_09_05	2024-09-05	0.04549652678287617	0.045830087912155044	0.06457809928560013	0.13970685847178888	5.96861111982749	0.9877212316271842	0.7946131391497522	Desulfosarcina	7.091515115262752	6.43461547206846	7.563811201751892	background	0	Autumn	rest	rest	background
S_24_11_06	2024-11-06	-0.045287151529099796	0.021487664205526433	0.05012629855304606	0.1090588641968637	5.955861766997916	0.9852860035336388	0.7924956236481098	Desulfosarcina	8.03591245186957	3.0712920270036745	3.754365324019819	background	0	Autumn	rest	rest	background
S_25_03_07	2025-03-07	0.31165617665825457	0.03688290372919335	0.3138310389950907	0.3457579346010993	5.520923389582733	0.983486896165004	0.7525124333139176	Crocosphaera	7.1485347985488294	26.708360418642172	30.19273076859079	bloom_like_core	3	Spring	rest	final5	expanded
S_25_04_30	2025-04-30	-0.014614255501489037	-0.011339771729566715	0.01849775355932399	0.12241584962225034	6.05810599652919	0.989259072539584	0.8125071921605227	Desulfosarcina	5.385447581225744	4.619036101334528	5.57522434904342	background	0	Spring	final4	final5	background
S_25_07_10	2025-07-10	0.08808256844463692	0.0022934805469100976	0.08811242203471202	0.16582440579235094	5.959265605087842	0.989312805995919	0.7987165688963	Homo	6.035011109499448	11.137508874684663	12.814415147114303	background	1	Summer	final4	final5	background
S_25_09_12	2025-09-12	0.06915677403611652	-0.0009764460976062139	0.06916366706634351	0.14872285223614537	6.011457622578505	0.9901774918169736	0.8042570332217923	Pseudomonas	4.998166460672585	10.047234696327592	11.621211392599491	background	0	Autumn	final4	final5	background
S_25_11_25	2025-11-25	-0.06431235820723172	-0.011472044903511234	0.06532753808650271	0.13302444901511018	5.983213377457076	0.986074079826002	0.8008402729157006	Homo	7.5063962264574275	2.9705255158921102	3.5135082718651223	background	0	Autumn	final4	final5	background
