	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
SS-06	0.8186	2.5999	0.8641	0.7636	0.3625	0.5379	0.6432	2.9222	0.8091	0.4664	0.7922	3.9152	1.3497	0.7195	0.5789	0.8831	1.472	1.0319	0.2955	0.3997	0.3678	0.4832	0.2426
SS-04	0.3119	0.3753	0.3198	0.2929	0.1983	0.2942	0.8045	0.3976	0.2465	0.3729	0.3266	0.4138	0.3034	0.283	1.6983	0.3465	0.7734	0.3797	0.0838	0.3671	0.3021	0.329	0.3044
SS-05	0.6217	0.7342	0.4759	0.657	0.3359	0.5525	1.004	1.2952	0.4951	0.4669	0.6791	1.1797	0.6377	0.6215	2.1963	0.7546	1.0374	0.6085	0.2201	0.5324	0.7374	0.8692	0.3493
SS-02	0.0476	0.1589	0.0479	0.0293	0.0547	0.0613	1.1404	0.2144	0.0464	0.0813	0.1021	0.135	0.0725	0.0609	0.2516	0.0987	0.4577	0.0862	0.0172	0.025	0.0271	0.0581	0.019
SS-03	0.036	0.1748	0.0325	0.0109	0.0261	0.0518	2.0052	0.1224	0.0237	0.0557	0.1495	0.1062	0.0678	0.0457	0.4233	0.0878	0.7366	0.0719	0.0113	0.0197	0.0195	0.0618	0.0092
SS-01	0.794	0.8367	0.5007	0.2771	0.4573	0.6501	1.3454	1.178	0.3421	0.8377	0.9746	1.6475	0.9922	0.7384	0.3283	1.1317	3.9151	0.5391	0.2348	0.1718	0.4301	0.4495	0.1471
SS-08	0.1052	0.1482	0.1013	0.0769	0.0403	0.1294	2.3371	0.2784	0.0698	0.1364	0.219	0.2723	0.1362	0.1349	0.3566	0.1713	0.4182	0.141	0.0657	0.0301	0.0587	0.0907	0.0421
SS-07	3.0049	5.8426	0.7938	1.4421	0.0444	3.7462	0.6726	5.7194	0.9357	1.9231	2.1714	4.1256	1.1998	1.2116	1.2322	0.9255	7.4155	1.8989	4.0901	0.9027	2.4338	2.421	0.3602
SS-10	0.3531	0.7148	0.3996	0.278	0.9303	0.1807	2.5925	0.2619	0.1893	0.4487	0.2882	0.213	0.4468	0.4412	0.8617	0.3984	0.9334	0.6694	0.0257	0.3022	0.148	0.2651	0.3963
SS-12	4.0241	5.2004	6.0449	3.9859	1.2038	4.3467	1.239	4.6272	6.1749	5.7988	5.3786	6.2822	3.4334	4.9515	1.163	3.1974	5.9947	5.2419	0.3805	0.8076	0.7576	0.9798	0.9113
SS-09	4.3682	2.4455	3.3199	1.6468	1.1638	2.3075	2.0591	2.0008	2.5343	3.5628	3.3623	3.0191	2.7934	1.866	1.4969	2.4246	4.2144	2.4292	0.2547	1.4751	1.7789	2.2926	1.2001
SS-11	2.3357	1.5742	3.9517	0.8995	0.7643	2.4596	0.5826	0.6911	1.554	4.089	2.5937	2.437	2.1044	4.8668	0.4288	2.1506	1.7336	2.8481	0.0819	0.5062	0.3043	0.4207	0.687
SS-13	1.5415	2.4632	2.5746	2.2709	0.6945	1.3796	0.4311	2.0682	2.783	1.8217	2.1649	1.6127	1.0866	2.0626	0.2963	1.0749	1.9551	1.6132	0.1148	0.3257	0.2864	0.4111	0.4231
SS-18	0.8742	0.8231	0.7753	0.3415	1.2647	0.26	0.3509	0.1823	0.5208	0.7131	0.8611	1.1736	0.8314	0.6587	0.5196	1.0948	0.6377	0.9206	0.0563	0.5036	0.5163	0.565	0.4335
SS-17	0.3493	0.4931	0.5213	0.4549	0.3954	0.532	0.719	0.6994	0.244	0.3273	0.5113	0.7244	0.4038	0.3769	0.8491	0.4862	0.6941	0.5029	0.1003	0.3133	0.2882	0.43	0.2987
SS-21	2.006	1.3848	3.9517	1.52	0.8439	0.9425	0.4137	0.5014	3.2364	2.0332	3.2041	2.3587	1.6937	3.0101	0.2463	2.9537	1.148	2.3486	0.0742	0.6385	0.5109	0.6276	0.911
SS-25	2.5326	3.831	2.7851	3.2226	1.8927	1.8326	1.3691	5.6445	3.5716	1.5761	3.4676	8.3544	3.3129	3.3604	1.0801	3.419	2.327	3.0209	0.5804	1.258	1.369	1.8996	0.876
SS-24	0.2015	0.3807	0.163	0.1466	0.2109	0.1737	0.7889	0.306	0.1536	0.2171	0.3764	0.6979	0.4254	0.3144	0.6988	0.4602	0.5182	0.4432	0.0544	0.2	0.1487	0.2744	0.1153
SS-22	1.3733	2.5038	1.2567	1.142	1.0734	1.031	1.8177	3.4848	1.2859	0.9645	1.9185	4.2218	2.0057	1.53	1.7907	2.0308	2.1084	2.0969	0.3295	0.7862	0.8931	1.1832	0.4617
SS-20	1.7751	2.4402	4.6519	4.0049	1.1082	1.3633	1.3679	1.9844	5.6245	1.9828	3.788	5.8418	2.5526	4.4542	1.1222	3.3925	1.8983	3.5444	0.1886	1.0486	0.8487	1.4204	1.5765
SS-19	0.851	0.7905	1.6259	0.915	0.6722	0.5122	0.4326	0.8046	1.4942	0.8197	1.304	2.7399	1.2108	1.9211	0.2206	1.4306	0.6172	1.1071	0.0583	0.3283	0.2212	0.3136	0.2813
SS-14	2.1761	4.5143	2.2618	1.5983	0.9392	2.7074	4.0787	5.2398	1.0603	1.7254	3.3318	8.663	3.458	2.4103	2.087	4.3485	5.807	2.9733	0.9368	0.7892	1.0881	1.4373	0.4717
SS-23	0.4908	0.9681	0.4656	0.6818	0.2896	0.4546	0.7523	1.8907	0.4354	0.4074	0.7418	2.4563	0.8605	0.8034	0.5679	0.7344	1.0194	0.9031	0.1964	0.3644	0.3091	0.4492	0.199
SS-29	0.2243	0.2873	0.1189	0.0661	0.1128	0.1174	1.1383	0.2221	0.1105	0.1138	0.1945	0.2428	0.1605	0.1279	0.2731	0.1894	0.3734	0.1323	0.0381	0.0581	0.084	0.0937	0.0378
SS-16	0.137	0.17	0.1625	0.3308	0.0615	0.2301	0.3922	0.0916	0.1093	0.1818	0.1929	0.1944	0.1947	0.1621	0.8366	0.1875	0.4103	0.2631	0.0306	0.3407	0.2124	0.3931	0.3577
SS-15	0.1311	0.1646	0.1302	0.2679	0.0679	0.2343	0.3357	0.109	0.0834	0.1644	0.1489	0.1792	0.1495	0.1044	0.7168	0.1654	0.2792	0.2304	0.0275	0.269	0.1937	0.2855	0.3044
SS-28	1.2978	2.3444	1.0513	0.5544	0.8689	0.7933	3.6808	1.41	1.0563	0.8957	1.4735	2.1574	1.1869	0.9274	1.102	1.3923	2.203	1.0352	0.1322	0.3907	0.4676	0.5647	0.2723
SS-26	1.0359	1.4248	2.0551	1.3347	0.7435	0.7939	1.8818	0.6908	1.1371	1.462	1.3477	2.6166	1.3253	1.4467	1.0088	1.4271	4.0074	1.9187	0.1238	0.5851	0.4672	0.7855	0.547
SS-27	0.1097	0.1245	0.1467	0.0446	0.1573	0.0978	1.0993	0.1608	0.0995	0.1202	0.165	0.2141	0.1267	0.1417	0.3057	0.167	0.2429	0.1196	0.0146	0.0284	0.0398	0.0454	0.0321
