	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
SS-06	-0.2118	1.7212	-0.1625	-0.2716	-0.7069	-0.5166	-0.4023	2.071	-0.2222	-0.5941	-0.2405	3.1486	0.3645	-0.3194	-0.472	-0.1419	0.4972	0.0195	-0.7796	-0.6665	-0.7011	-0.5758	-0.8369
SS-04	-0.32	-0.1217	-0.2955	-0.3796	-0.676	-0.3755	1.2224	-0.0519	-0.5251	-0.1291	-0.2742	-0.0009	-0.3468	-0.4107	4.0216	-0.2117	1.1252	-0.1079	-1.0344	-0.1472	-0.3509	-0.2665	-0.3436
SS-05	-0.2915	-0.0186	-0.6456	-0.2059	-0.9853	-0.4596	0.6366	1.3434	-0.599	-0.6675	-0.1523	1.0631	-0.2528	-0.2921	3.5312	0.0311	0.7176	-0.3237	-1.2666	-0.5083	-0.0107	0.3092	-0.9528
SS-02	-0.4003	0.0657	-0.399	-0.477	-0.3707	-0.343	4.1767	0.2984	-0.4054	-0.259	-0.172	-0.0342	-0.2961	-0.3447	0.4542	-0.1863	1.3172	-0.2389	-0.5276	-0.4952	-0.4862	-0.3564	-0.5202
SS-03	-0.3576	-0.0335	-0.3658	-0.4163	-0.3807	-0.3207	4.2416	-0.1557	-0.3863	-0.3115	-0.0926	-0.1936	-0.2833	-0.3348	0.5469	-0.2365	1.2788	-0.2738	-0.4154	-0.3956	-0.3962	-0.2972	-0.4201
SS-01	-0.0366	0.018	-0.4118	-0.6979	-0.4674	-0.2207	0.6689	0.4548	-0.6148	0.0193	0.1946	1.0555	0.2171	-0.1077	-0.6325	0.3955	3.9569	-0.3627	-0.752	-0.8328	-0.5022	-0.4774	-0.8643
SS-08	-0.2918	-0.1999	-0.3001	-0.3523	-0.4305	-0.2401	4.4787	0.0784	-0.3676	-0.2251	-0.0486	0.0653	-0.2255	-0.2283	0.2456	-0.1505	0.3771	-0.2153	-0.3762	-0.4524	-0.3912	-0.3229	-0.4268
SS-07	0.3258	1.7822	-0.8091	-0.4763	-1.1937	0.7063	-0.8712	1.719	-0.7362	-0.2294	-0.102	0.901	-0.6007	-0.5946	-0.584	-0.7415	2.5895	-0.2419	0.8828	-0.7532	0.0327	0.0261	-1.0316
SS-10	-0.3038	0.3951	-0.214	-0.449	0.8115	-0.6371	4.0236	-0.4802	-0.6205	-0.1192	-0.4292	-0.5746	-0.1228	-0.1337	0.6789	-0.2164	0.8174	0.3074	-0.9365	-0.4023	-0.7003	-0.4739	-0.2204
SS-12	0.2123	0.7632	1.1587	0.1945	-1.1084	0.3634	-1.0919	0.4948	1.2195	1.0434	0.8466	1.2698	-0.0643	0.6466	-1.1275	-0.1748	1.1352	0.7826	-1.4939	-1.2939	-1.3173	-1.2133	-1.2453
SS-09	2.04	0.0979	0.9811	-0.7087	-1.1966	-0.0415	-0.2923	-0.3513	0.1876	1.2265	1.024	0.6774	0.4493	-0.4873	-0.8602	0.0768	1.8847	0.0815	-2.1149	-0.8822	-0.5754	-0.0565	-1.16
SS-11	0.4467	-0.1262	1.6626	-0.6338	-0.7356	0.5399	-0.8723	-0.7906	-0.1414	1.7658	0.6409	0.5229	0.2727	2.3511	-0.988	0.3075	-0.0063	0.8323	-1.249	-0.9298	-1.0816	-0.9941	-0.7937
SS-13	0.2035	1.2821	1.4126	1.0572	-0.7878	0.014	-1.0961	0.8199	1.6565	0.5314	0.9331	0.2868	-0.3289	0.8134	-1.2539	-0.3426	0.6875	0.2874	-1.4663	-1.2195	-1.2654	-1.1195	-1.1054
SS-18	0.7297	0.5656	0.4123	-0.9801	1.983	-1.2417	-0.9498	-1.4911	-0.4047	0.2125	0.6877	1.6906	0.5922	0.0381	-0.4087	1.4377	-0.0296	0.8785	-1.8957	-0.4599	-0.419	-0.2627	-0.6849
SS-17	-0.6475	0.1512	0.3081	-0.0611	-0.3913	0.3676	1.4059	1.2972	-1.2324	-0.7697	0.2525	1.4362	-0.3447	-0.4941	2.1286	0.1127	1.2677	0.2059	-2.0307	-0.8475	-0.987	-0.199	-0.9285
SS-21	0.3714	-0.1826	2.1065	-0.062	-0.6649	-0.577	-1.0486	-0.9703	1.4686	0.3956	1.4399	0.6859	0.0929	1.2669	-1.1979	1.2166	-0.3937	0.6769	-1.3513	-0.8481	-0.9619	-0.8578	-0.6051
SS-25	-0.11	0.6482	0.0374	0.2929	-0.4837	-0.5188	-0.7895	1.7072	0.4967	-0.6686	0.436	3.2897	0.3457	0.3734	-0.9582	0.4076	-0.2301	0.1751	-1.25	-0.8543	-0.7895	-0.4797	-1.0774
SS-24	-0.6106	0.2773	-0.8013	-0.8827	-0.564	-0.7483	2.2992	-0.0928	-0.848	-0.5334	0.256	1.8484	0.4987	-0.0512	1.8526	0.6711	0.9585	0.5866	-1.339	-0.618	-0.8722	-0.2495	-1.0373
SS-22	-0.2741	0.9755	-0.403	-0.5298	-0.6056	-0.6525	0.2171	2.0598	-0.3708	-0.726	0.3285	2.8745	0.4249	-0.1009	0.1873	0.4527	0.5384	0.5257	-1.4278	-0.923	-0.8049	-0.4843	-1.2817
SS-20	-0.4708	-0.0509	1.3452	0.9368	-0.8917	-0.7307	-0.7278	-0.3387	1.9591	-0.3396	0.7999	2.0963	0.0201	1.2204	-0.8829	0.5502	-0.393	0.6461	-1.4722	-0.9293	-1.0556	-0.6947	-0.5961
SS-19	-0.0742	-0.1683	1.1302	0.0251	-0.3522	-0.6009	-0.7245	-0.1464	0.9254	-0.1229	0.6298	2.8616	0.485	1.5889	-1.0541	0.8266	-0.4376	0.3237	-1.3063	-0.8866	-1.053	-0.9096	-0.9597
SS-14	-0.3104	0.8774	-0.2669	-0.604	-0.9388	-0.0405	0.6562	1.2461	-0.8772	-0.5394	0.2767	2.9851	0.3408	-0.1914	-0.3557	0.7932	1.5342	0.0946	-0.94	-1.015	-0.8632	-0.6857	-1.1763
SS-23	-0.4259	0.4814	-0.4738	-0.0627	-0.8083	-0.4946	0.0713	2.2352	-0.5312	-0.5844	0.0512	3.3104	0.277	0.1684	-0.2793	0.0371	0.5789	0.3579	-0.9856	-0.6662	-0.7713	-0.5049	-0.9805
SS-29	0.1253	0.4085	-0.3481	-0.5854	-0.3756	-0.3551	4.233	0.1154	-0.3859	-0.3712	-0.0088	0.2087	-0.1615	-0.3078	0.3446	-0.0314	0.7956	-0.288	-0.7113	-0.6215	-0.5053	-0.4614	-0.7127
SS-16	-0.6458	-0.449	-0.4939	0.5095	-1.0956	-0.0906	0.8754	-0.9161	-0.8108	-0.3788	-0.3127	-0.3035	-0.3015	-0.4961	3.5236	-0.3448	0.9832	0.1056	-1.28	0.5683	-0.1962	0.8804	0.6696
SS-15	-0.5446	-0.302	-0.5512	0.448	-1.0035	0.2041	0.9397	-0.7054	-0.8914	-0.3034	-0.4159	-0.1958	-0.4113	-0.7388	3.7053	-0.2959	0.5299	0.1755	-1.2966	0.456	-0.091	0.5754	0.713
SS-28	0.1408	1.4491	-0.1672	-0.7883	-0.3953	-0.4897	3.1194	0.2811	-0.1611	-0.3618	0.3604	1.2153	0.0022	-0.3221	-0.1039	0.2589	1.2722	-0.1874	-1.3161	-0.993	-0.8969	-0.7756	-1.141
SS-26	-0.3342	0.1372	0.9012	0.028	-0.6886	-0.6276	0.6912	-0.7525	-0.2115	0.1823	0.0437	1.5818	0.0166	0.1638	-0.367	0.1401	3.2677	0.7359	-1.4398	-0.8806	-1.0235	-0.6377	-0.9268
SS-27	-0.2577	-0.1895	-0.0863	-0.5595	-0.0373	-0.313	4.3276	-0.0213	-0.305	-0.2094	-0.0017	0.2258	-0.1793	-0.1098	0.6505	0.0074	0.3593	-0.2122	-0.6988	-0.6347	-0.5816	-0.5559	-0.6174
