sample_id	Proteobacteria	Actinobacteria	Cyanobacteria	Bacteroidetes	Firmicutes	Planctomycetes	Other taxa
S_21_10_22	54.3057	8.3829	3.7107	7.6982	3.8398	4.2504	17.8124
S_21_12_20	56.6862	8.9546	5.547	6.507	3.58	3.1444	15.5807
S_22_02_24	60.7009	8.788	2.6983	5.8991	3.9086	4.142	13.8631
S_22_04_28	59.9829	10.253	4.0849	4.8706	3.39	2.7074	14.7112
S_22_06_29	50.3322	10.001	1.1898	4.8232	3.4298	4.8526	25.3715
S_22_09_09	55.4655	7.9618	5.8963	8.0212	4.0064	3.4447	15.204
S_22_10_21	57.6061	9.4533	3.812	8.8118	3.132	4.3081	12.8767
S_22_12_16	53.5521	10.2664	7.9059	8.06	2.577	4.5478	13.0908
S_23_04_20	59.2424	9.7311	2.4467	5.8438	3.7796	4.9801	13.9763
S_23_07_03	56.1634	7.7163	4.2903	8.1412	4.4401	3.7987	15.4499
S_23_09_06	57.6089	8.0141	4.623	7.2575	3.3831	3.9463	15.1671
S_23_10_25	60.1344	8.3618	4.8838	7.0602	2.2985	3.4822	13.7791
S_24_01_04	58.8047	8.2305	3.0733	8.7081	3.4804	3.4287	14.2743
S_24_03_04	59.5659	8.7035	2.7453	6.717	3.6192	3.6511	14.998
S_24_04_16	56.6936	13.5717	5.2098	4.8853	2.6201	3.6145	13.405
S_24_07_05	59.5172	8.2058	3.6478	7.6313	2.8047	3.5731	14.62
S_24_09_05	55.8911	7.5434	7.5638	9.1015	3.3265	3.2831	13.2906
S_24_11_06	59.2682	8.5111	3.7544	6.689	3.6281	3.4108	14.7385
S_25_03_07	42.7119	6.1206	30.1927	6.684	1.8934	1.4632	10.9341
S_25_04_30	58.9658	9.9995	5.5752	5.6665	3.4135	3.0653	13.3143
S_25_07_10	51.4121	9.6953	12.8144	6.9952	2.719	2.6896	13.6744
S_25_09_12	54.88	9.0143	11.6212	6.2536	2.7963	2.8975	12.5371
S_25_11_25	55.4429	9.8123	3.5135	5.0439	3.5931	3.2667	19.3274
