	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
Desulfosarcina	0.2753	0.4045	1.3627	0.826	-1.4823	0.6111	-1.4928	-0.8368	1.4523	1.5194	0.7243	-0.0576	0.091	0.9177	-1.2949	-0.3362	0.4663	0.895	-1.7098	-0.308	-1.2052	-0.8042	-0.018
Pseudomonas	-0.097	-0.1025	0.5902	0.5819	-0.4183	-1.3653	0.0504	-0.7147	0.8913	-0.732	0.4357	2.1161	0.8738	0.909	-0.6008	0.5912	-0.623	0.4735	-3.0259	0.5956	-0.5573	0.0552	0.0731
Streptomyces	0.2854	-0.1554	-0.0666	0.4443	1.7825	-0.6792	0.3413	0.8459	0.5771	-0.8246	-0.6872	-0.6053	-0.5721	-0.0947	2.1283	-0.5842	-1.0957	-0.2213	-2.2863	0.0387	1.7188	-0.7316	0.4419
Bradyrhizobium	-1.2126	-0.4142	0.4733	0.4664	1.0621	1.7322	0.2882	1.8981	-0.5518	-1.3949	-0.4844	0.4211	-0.3713	-0.573	2.1109	-0.0716	-0.5872	-0.197	-1.9391	0.083	-0.4925	0.0887	-0.3343
Sulfitobacter	-0.8436	0.1206	-0.8927	-0.7371	-1.5768	-0.397	1.5269	0.4116	-1.5024	-1.0535	-0.1169	1.3631	0.4303	-0.3189	1.0481	1.6898	1.0867	-0.2379	1.5911	-0.59	0.1702	-0.0975	-1.0741
Roseovarius	-0.7912	0.6096	-0.6694	-0.2641	-1.5381	-0.2156	1.6506	0.578	-1.4706	-1.1301	-0.0549	2.376	0.6542	-0.0973	0.4133	1.0047	0.9374	0.0164	0.9234	-0.5001	-0.8098	-0.3902	-1.232
Chondrocystis	-0.2168	0.31	-0.6437	-0.2679	-0.8601	0.1036	-0.6482	0.4738	-0.6096	-0.3556	-0.3225	-0.0752	-0.5209	-0.5518	-0.3963	-0.6227	0.5723	-0.3964	3.9923	-0.1556	0.9421	0.7882	-0.5391
Crocosphaera	-0.4333	-0.3809	-0.4949	-0.4334	-0.4995	-0.344	-0.3632	0.3788	-0.4729	-0.3712	-0.1846	-0.1637	-0.3794	-0.4663	0.0915	-0.1657	-0.1779	-0.4295	4.2363	-0.2887	0.9036	0.7731	-0.3343
Stanieria	-0.3341	0.108	-0.5958	-0.2305	-0.8013	-0.0174	-0.6345	0.3421	-0.5989	-0.3751	-0.3641	-0.1414	-0.5091	-0.5585	-0.3779	-0.6032	0.3479	-0.3869	3.9552	0.0182	1.2136	0.9934	-0.4496
Nostoc	-0.3826	-0.0186	0.1352	-0.4314	-0.963	0.0159	-0.6828	0.4182	-0.6589	-0.2296	-0.1896	-0.21	-0.6289	-0.6472	-0.4981	-0.3813	0.2858	-0.3481	3.9454	-0.0735	1.1674	0.9287	-0.553
Burkholderia	-0.6668	0.1509	-0.6548	0.9481	0.2565	-1.0907	-0.1455	3.0943	0.4912	-1.4091	-0.1162	1.1791	0.3663	0.2415	0.1168	0.3849	-1.2567	0.1642	-1.7928	0.1176	-0.6543	-0.0469	0.3227
Halomonas	-1.0159	-0.0819	0.1691	0.9867	-1.1435	-1.3554	0.9226	-0.9283	0.6218	-1.1921	0.4772	1.1459	0.4334	0.8406	0.1146	0.5877	-0.5813	-0.0392	-2.6672	1.6034	0.1625	0.5338	0.4055
Rhizobium	-0.9332	-0.4321	1.5669	0.2866	0.4681	1.2372	0.1461	1.0168	-0.6725	-1.0296	0.0127	0.0589	0.1195	-0.3597	2.1968	0.3006	-0.7355	-0.0631	-2.6894	0.4534	-0.7779	-0.5439	0.3735
Lysobacter	-0.763	1.4135	-0.6299	0.6788	-0.9342	-1.2725	1.3195	1.5139	0.7976	-1.7769	-0.2321	1.711	0.3986	0.1489	0.3032	0.4072	-0.1566	-0.0987	-2.0211	0.2517	-0.6301	0.0615	-0.4903
Mesorhizobium	-0.9034	-0.1471	0.216	0.0066	0.4833	1.7092	0.0735	1.6207	-0.8007	-1.4222	-0.7984	0.5454	-0.0993	-0.4927	2.8809	-0.0822	-0.5662	-0.5729	-1.3893	0.4775	-0.2536	0.0592	-0.5445
Paracoccus	-1.0588	0.0885	-1.0065	-0.5155	-0.6254	-0.6853	1.896	1.918	-1.2818	-1.2292	-0.3801	0.9675	-0.2199	-0.8012	1.4236	0.6436	0.9787	-0.2934	1.4684	-0.4006	-0.1798	0.1204	-0.8273
Flavobacterium	0.9566	-0.4254	-0.868	-1.5456	-1.2903	1.0896	1.8211	0.1	-0.9967	0.9364	0.3189	0.0309	1.3336	0.0136	-1.6223	0.6287	1.6019	-0.1966	-0.6848	-0.7291	0.5868	-0.1465	-0.9131
Aeromonas	0.4851	-0.3966	1.2394	0.8444	-0.2513	-0.6521	-0.2056	-1.694	0.5376	0.275	0.1414	0.2044	0.2266	1.2425	-0.7013	0.8189	-0.6194	0.4237	-3.2629	0.857	-0.4022	0.0756	0.8138
Synechococcus	-0.6182	-0.3994	-0.64	-0.2594	-0.9161	-0.5016	3.4882	-0.3611	-0.6573	-0.4934	-0.3022	-0.4159	-0.4528	-0.5559	2.0814	-0.3972	0.2596	-0.5284	0.9086	0.0627	0.493	0.4257	-0.2202
Sphingomonas	-1.3091	-0.3496	-0.5347	0.3548	0.387	0.3	1.282	3.0245	0.2542	-1.1274	-0.7548	-0.0492	0.2637	-0.0444	1.7827	0.2115	-1.0266	-0.5995	-1.2269	0.2833	-0.4268	-0.127	-0.5677
Paenibacillus	0.8933	0.3696	1.0692	0.1148	0.9159	0.4334	-0.3042	-1.491	0.8139	1.5393	0.0619	-1.5417	0.3325	0.4621	-0.3595	-0.7069	-0.4133	0.7246	-2.3282	-0.1474	-1.184	-0.7188	1.4644
Desulfonema	0.3386	0.5221	1.5543	-0.0058	0.2343	0.6643	-0.4187	-1.9578	0.5781	1.665	0.6589	-1.5226	-0.0306	0.9026	-0.2056	-0.7154	0.1431	0.6514	-2.3639	-0.2008	-0.526	-0.7289	0.7635
Nocardioides	-0.6108	-0.0083	-0.4296	0.4412	0.3936	-0.6914	0.1497	1.2017	0.1497	-0.978	-0.7514	-0.041	-0.3605	-0.4486	3.6743	-0.4564	-0.6226	-0.53	-1.4751	0.7452	0.1308	0.1797	0.3379
Xanthomonas	-0.0349	1.646	-0.5955	1.2933	-1.3816	-1.6992	0.8078	0.7083	-0.0354	-1.4326	-0.3336	1.563	0.6072	0.3083	-0.2535	0.2749	-0.3858	0.6829	-2.2518	0.4101	0.4123	-0.2746	-0.0355
Mycobacterium	-0.5245	3.2238	-0.3933	0.2613	0.3706	-0.6052	-0.2649	0.505	0.2603	-0.8498	-0.7263	-0.4625	-0.2193	-0.1963	2.1707	-0.4559	-0.7345	-0.2057	-1.6862	0.3688	-0.2604	0.1037	0.3208
