sample_id	Desulfosarcina	Pseudomonas	Streptomyces	Bradyrhizobium	Sulfitobacter	Roseovarius	Chondrocystis	Crocosphaera	Stanieria	Nostoc
S_21_10_22	37.671	27.7103	12.5217	4.9487	3.4795	3.5669	3.687	0.838	2.6214	2.9556
S_21_12_20	34.8314	24.5563	10.3442	4.9474	4.7054	5.5197	5.8654	1.137	4.4058	3.6875
S_22_02_24	44.8854	26.3327	10.3774	5.5053	2.9688	3.3295	1.1526	0.2776	1.0799	4.0909
S_22_04_28	39.72	26.7728	11.4465	5.5976	3.2843	4.0744	3.0358	0.7469	2.8291	2.4926
S_22_06_29	22.4427	37.8111	21.9167	9.5797	2.9693	3.0536	0.1594	0.394	0.2004	1.4733
S_22_09_09	38.8193	21.7191	9.8761	6.7473	4.0124	4.3216	5.0713	1.479	3.9909	3.9631
S_22_10_21	18.5394	33.3744	14.9428	7.2568	9.4294	9.7008	1.526	1.6935	1.2143	2.3227
S_22_12_16	21.7575	23.387	12.4255	6.7601	5.3473	5.6277	6.8691	7.0415	5.6702	5.1141
S_23_04_20	46.8329	27.8032	11.7168	4.8972	1.9976	2.0392	1.3466	0.4504	1.088	1.8282
S_23_07_03	48.3054	23.2296	9.4196	4.3668	2.801	2.6574	2.65	1.2399	2.1847	3.1457
S_23_09_06	39.025	26.627	9.5913	4.9832	4.3811	4.4782	2.7962	2.6557	2.221	3.2416
S_23_10_25	28.4708	29.8958	9.1629	5.2976	6.5044	8.1312	3.799	2.6498	3.0945	2.994
S_24_01_04	34.6259	30.3396	10.6243	5.4936	5.7674	6.175	1.9547	1.2672	1.6563	2.096
S_24_03_04	41.7898	28.4777	10.7832	4.991	4.094	4.4691	1.6704	0.5118	1.3087	1.9044
S_24_04_16	19.3605	27.7636	17.193	8.0855	7.541	6.2481	2.8717	5.6386	2.5502	2.7477
S_24_07_05	29.846	29.8251	10.7536	5.8075	8.2191	6.9239	1.4212	3.0815	1.1838	2.9384
S_24_09_05	34.0201	22.0261	8.3569	4.6233	6.0622	5.816	6.8568	2.549	5.3023	4.3873
S_24_11_06	40.8812	26.7035	10.393	5.1804	4.1682	4.5936	2.4222	0.7838	2.109	2.7651
S_25_03_07	7.7358	10.61	4.4873	2.6093	4.8261	4.0675	16.1484	24.0773	15.1446	10.2938
S_25_04_30	30.076	29.7232	11.9087	5.9055	3.916	4.0735	3.9821	2.0399	4.442	3.9329
S_25_07_10	16.5435	22.4752	13.1558	4.7417	4.641	3.0352	8.7033	10.4472	9.3146	6.9426
S_25_09_12	20.9883	24.4408	9.131	5.1748	4.2367	3.7473	8.028	9.5691	8.3723	6.3117
S_25_11_25	35.9932	29.9259	13.5692	5.9692	3.2194	2.8889	2.0059	1.7731	2.1242	2.5309
