from	to	step
S_21_10_22	S_21_12_20	1
S_21_12_20	S_22_02_24	2
S_22_02_24	S_22_04_28	3
S_22_04_28	S_22_06_29	4
S_22_06_29	S_22_09_09	5
S_22_09_09	S_22_10_21	6
S_22_10_21	S_22_12_16	7
S_22_12_16	S_23_04_20	8
S_23_04_20	S_23_07_03	9
S_23_07_03	S_23_09_06	10
S_23_09_06	S_23_10_25	11
S_23_10_25	S_24_01_04	12
S_24_01_04	S_24_03_04	13
S_24_03_04	S_24_04_16	14
S_24_04_16	S_24_07_05	15
S_24_07_05	S_24_09_05	16
S_24_09_05	S_24_11_06	17
S_24_11_06	S_25_03_07	18
S_25_03_07	S_25_04_30	19
S_25_04_30	S_25_07_10	20
S_25_07_10	S_25_09_12	21
S_25_09_12	S_25_11_25	22
