Name of sample	1º extraction batch	2º extraction batch	Simple number taging [ ]	[dsDNA] ug/uL Nanodrop	r 260/280	r 260/230
EMO BON RFormosa SO 210805 micro(4)	-	-	-	-	-	-
EMO BON RFormosa SO 211022 micro(4)		X	11	19.3	1.87	0.35
EMO BON RFormosa SO 211220 micro(3)		X	12	48.3	1.85	1.56
EMO BON RFormosa SO 220224 micro(4)	X		1	9.9	1.98	0.11
EMO BON RFormosa SO 220428 micro(3)	X		2	20	1.91	1.41
EMO BON RFormosa SO 220629 micro(3)	X		3	5.8	1.97	0.27
EMO BON RFormosa SO 220909 micro(3)	X		4	27.1	1.76	1.24
EMO BON RFormosa SO 221021 micro(3)	X		5	29.3	1.91	0.59
EMO BON RFormosa SO 221216 micro(3)	X		6	18.2	1.9	0.12
EMO BON RFormosa SO 230420 micro(4)	X		7	6.9	1.94	0.11
EMO BON RFormosa SO 230703 micro(4)		X	13	35.1	1.92	1.17
EMO BON RFormosa SO 230906 micro(4)		X	14	25.2	1.74	0.93
EMO BON RFormosa SO 231025 micro(4)	X		8	26.5	1.78	0.52
EMO BON RFormosa SO 240104 micro(4)	X		9	39.6	1.81	0.48
EMO BON RFormosa SO 240304 micro(4)	X		10	13.3	1.9	0.06
EMO BON RFormosa SO 240416 micro(4)	-	-	-	-	-	-
EMO BON RFormosa SO 240705 micro(4)		X	15	16.3	1.76	0.79
EMO BON RFormosa SO 240905 micro(3)		X	16	29.5	1.86	0.52
EMO BON RFormosa SO 241106 micro(4)		X	17	37.5	1.89	0.44
EMO BON RFormosa SO 250307 micro(4)		X	18	71.6	1.87	1.94
EMO BON RFormosa SO 250430 micro(4)		X	19	41.5	1.82	1.55
EMO BON RFormosa SO 250710 micro(4)		X	20	49.1	1.84	1.43
EMO BON RFormosa SO 250912 micro(3)		X	21	48.5	1.84	1.39
EMO BON RFormosa SO 251125 micro(2)		X	22	20.6	1.86	0.81
