sample_date	sample_name	extraction_tag	extraction_batch	dsDNA_ng_per_uL_NanoDrop	A260_280	A260_230
2021-08-05	EMO BON RFormosa SO 210805 micro(4)	-		-	-	-
2021-10-22	EMO BON RFormosa SO 211022 micro(4)	11	2	19.3	1.87	0.35
2021-12-20	EMO BON RFormosa SO 211220 micro(3)	12	2	48.3	1.85	1.56
2022-02-24	EMO BON RFormosa SO 220224 micro(4)	1	1	9.9	1.98	0.11
2022-04-28	EMO BON RFormosa SO 220428 micro(3)	2	1	20	1.91	1.41
2022-06-29	EMO BON RFormosa SO 220629 micro(3)	3	1	5.8	1.97	0.27
2022-09-09	EMO BON RFormosa SO 220909 micro(3)	4	1	27.1	1.76	1.24
2022-10-21	EMO BON RFormosa SO 221021 micro(3)	5	1	29.3	1.91	0.59
2022-12-16	EMO BON RFormosa SO 221216 micro(3)	6	1	18.2	1.9	0.12
2023-04-20	EMO BON RFormosa SO 230420 micro(4)	7	1	6.9	1.94	0.11
2023-07-03	EMO BON RFormosa SO 230703 micro(4)	13	2	35.1	1.92	1.17
2023-09-06	EMO BON RFormosa SO 230906 micro(4)	14	2	25.2	1.74	0.93
2023-10-25	EMO BON RFormosa SO 231025 micro(4)	8	1	26.5	1.78	0.52
2024-01-04	EMO BON RFormosa SO 240104 micro(4)	9	1	39.6	1.81	0.48
2024-03-04	EMO BON RFormosa SO 240304 micro(4)	10	1	13.3	1.9	0.06
2024-04-16	EMO BON RFormosa SO 240416 micro(4)	-		-	-	-
2024-07-05	EMO BON RFormosa SO 240705 micro(4)	15	2	16.3	1.76	0.79
2024-09-05	EMO BON RFormosa SO 240905 micro(3)	16	2	29.5	1.86	0.52
2024-11-06	EMO BON RFormosa SO 241106 micro(4)	17	2	37.5	1.89	0.44
2025-03-07	EMO BON RFormosa SO 250307 micro(4)	18	2	71.6	1.87	1.94
2025-04-30	EMO BON RFormosa SO 250430 micro(4)	19	2	41.5	1.82	1.55
2025-07-10	EMO BON RFormosa SO 250710 micro(4)	20	2	49.1	1.84	1.43
2025-09-12	EMO BON RFormosa SO 250912 micro(3)	21	2	48.5	1.84	1.39
2025-11-25	EMO BON RFormosa SO 251125 micro(2)	22	2	20.6	1.86	0.81
