task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	4e/9657a1	629447	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_04_28__sub315147__r2)	COMPLETED	0	2026-05-16 12:38:30.643	2m 31s	2m 30s	99.2%	6.3 GB	40.4 GB	1 GB	2 MB
18	14/770d18	629460	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_09_09__sub315147__r3)	COMPLETED	0	2026-05-16 12:38:30.745	4m 27s	4m 26s	100.0%	8.8 GB	40.3 GB	1.5 GB	2 MB
4	ef/dcc360	629428	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_21_12_20__sub315147__r1)	COMPLETED	0	2026-05-16 12:38:30.539	5m 57s	5m 55s	99.9%	7.5 GB	40.4 GB	1.9 GB	1.9 MB
9	a5/767c20	637010	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_02_24__sub315147__r3)	COMPLETED	0	2026-05-16 12:41:02.905	5m 28s	5m 27s	99.9%	8.5 GB	40.4 GB	1.9 GB	1.9 MB
17	db/f669a8	641997	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_09_09__sub315147__r2)	COMPLETED	0	2026-05-16 12:42:57.497	4m 24s	4m 23s	99.8%	13.5 GB	40.3 GB	1.5 GB	1.9 MB
2	3d/cd9e91	645944	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_21_10_22__sub315147__r2)	COMPLETED	0	2026-05-16 12:44:27.268	5m 36s	5m 35s	99.9%	8.6 GB	40.6 GB	1.8 GB	2.2 MB
19	a5/831941	651238	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_10_21__sub315147__r1)	COMPLETED	0	2026-05-16 12:46:30.633	4m 7s	4m 6s	100.2%	9.6 GB	40.4 GB	1.4 GB	2.1 MB
5	a0/15a0e1	653732	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_21_12_20__sub315147__r2)	COMPLETED	0	2026-05-16 12:47:21.779	5m 5s	5m 3s	100.0%	8 GB	40.4 GB	1.9 GB	1.9 MB
3	c1/bfdef0	660576	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_21_10_22__sub315147__r3)	COMPLETED	0	2026-05-16 12:50:03.234	5m 37s	5m 36s	100.0%	8.9 GB	40.5 GB	1.8 GB	2 MB
13	35/e2ebfd	662452	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_06_29__sub315147__r1)	COMPLETED	0	2026-05-16 12:50:37.683	5m 11s	5m 10s	100.1%	7.5 GB	40.4 GB	1.8 GB	1.9 MB
8	dc/b70e9c	667305	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_02_24__sub315147__r2)	COMPLETED	0	2026-05-16 12:52:26.850	6m 3s	6m 2s	100.0%	11.3 GB	40.4 GB	1.9 GB	1.9 MB
6	d6/d4f2f0	676128	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_21_12_20__sub315147__r3)	COMPLETED	0	2026-05-16 12:55:48.359	5m 28s	5m 28s	100.0%	9.4 GB	40.4 GB	1.9 GB	1.9 MB
7	08/c03f5b	675274	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_02_24__sub315147__r1)	COMPLETED	0	2026-05-16 12:55:40.005	6m 13s	6m 13s	100.0%	8.2 GB	40.4 GB	1.9 GB	1.9 MB
16	24/c61e79	682894	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_09_09__sub315147__r1)	COMPLETED	0	2026-05-16 12:58:30.105	4m 3s	4m 2s	100.3%	10.1 GB	40.4 GB	1.5 GB	2 MB
12	cc/36ba88	689965	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_04_28__sub315147__r3)	COMPLETED	0	2026-05-16 13:01:16.542	2m 28s	2m 26s	100.2%	6.2 GB	40.6 GB	1 GB	1.9 MB
1	39/6254b3	691927	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_21_10_22__sub315147__r1)	COMPLETED	0	2026-05-16 13:01:53.619	5m 38s	5m 37s	99.8%	7.3 GB	40.4 GB	1.8 GB	2.2 MB
15	e9/c38258	694046	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_06_29__sub315147__r3)	COMPLETED	0	2026-05-16 13:02:33.254	5m 30s	5m 30s	99.9%	8.6 GB	40.6 GB	1.8 GB	1.9 MB
10	0a/1cfee5	706688	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_04_28__sub315147__r1)	COMPLETED	0	2026-05-16 13:07:32.369	2m 17s	2m 15s	100.6%	7.1 GB	40.4 GB	1 GB	1.9 MB
14	aa/08d784	697471	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_06_29__sub315147__r2)	COMPLETED	0	2026-05-16 13:03:44.180	6m 33s	6m 33s	99.8%	8.7 GB	40.6 GB	1.8 GB	1.9 MB
32	eb/6e4835	713285	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_07_03__sub315147__r1)	COMPLETED	0	2026-05-16 13:09:49.250	5m 25s	5m 25s	100.0%	8.6 GB	40.6 GB	1.7 GB	1.9 MB
39	08/004db2	708484	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_10_25__sub315147__r2)	COMPLETED	0	2026-05-16 13:08:03.756	7m 15s	7m 14s	100.0%	10.4 GB	40.4 GB	2 GB	2 MB
40	14/3a7443	714921	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_10_25__sub315147__r3)	COMPLETED	0	2026-05-16 13:10:17.346	6m 10s	6m 9s	100.1%	6.4 GB	40.3 GB	2 GB	2 MB
26	e8/71c5fc	726842	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_12_16__sub315147__r1)	COMPLETED	0	2026-05-16 13:15:14.620	2m 52s	2m 50s	100.0%	9.5 GB	40.4 GB	1.9 GB	1.9 MB
31	dc/e84f2a	727313	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_04_20__sub315147__r3)	COMPLETED	0	2026-05-16 13:15:19.296	4m 16s	4m 15s	99.9%	7.6 GB	40.4 GB	1.6 GB	1.8 MB
30	08/d8c61a	730800	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_04_20__sub315147__r2)	COMPLETED	0	2026-05-16 13:16:27.031	4m 22s	4m 21s	100.0%	7.5 GB	40.4 GB	1.6 GB	1.9 MB
37	f3/7ae5eb	735287	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_09_06__sub315147__r3)	COMPLETED	0	2026-05-16 13:18:06.850	4m 54s	4m 53s	100.2%	11.1 GB	40.6 GB	1.8 GB	1.9 MB
29	7f/f1a6a5	742743	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_04_20__sub315147__r1)	COMPLETED	0	2026-05-16 13:20:49.614	2m 20s	2m 19s	100.6%	8.4 GB	40.5 GB	1.6 GB	2 MB
24	86/9df69f	739228	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_10_21__sub315147__r2)	COMPLETED	0	2026-05-16 13:19:35.219	4m 6s	4m 5s	100.2%	9.7 GB	40.4 GB	1.4 GB	1.9 MB
34	b1/3c5e24	748374	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_07_03__sub315147__r3)	COMPLETED	0	2026-05-16 13:23:01.517	5m 7s	5m 6s	99.8%	8.7 GB	40.4 GB	1.7 GB	2 MB
38	b3/d362ed	749064	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_10_25__sub315147__r1)	COMPLETED	0	2026-05-16 13:23:09.754	5m 35s	5m 34s	100.2%	5.9 GB	40.6 GB	2 GB	2 MB
36	be/e0ff71	751022	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_09_06__sub315147__r2)	COMPLETED	0	2026-05-16 13:23:40.862	5m 13s	5m 13s	100.2%	14 GB	40.4 GB	1.8 GB	2 MB
25	12/42fc45	764838	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_10_21__sub315147__r3)	COMPLETED	0	2026-05-16 13:28:54.368	4m 30s	4m 30s	99.9%	10.6 GB	40.4 GB	1.4 GB	2.1 MB
33	a4/036eca	763931	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_07_03__sub315147__r2)	COMPLETED	0	2026-05-16 13:28:45.181	4m 53s	4m 53s	100.1%	8.3 GB	40.4 GB	1.7 GB	2 MB
27	23/6b6122	761919	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_12_16__sub315147__r2)	COMPLETED	0	2026-05-16 13:28:08.958	7m 11s	7m 11s	99.8%	10.8 GB	40.4 GB	1.9 GB	1.9 MB
41	0f/a98a0a	777047	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_24_01_04__sub315147__r1)	COMPLETED	0	2026-05-16 13:33:38.318	4m 6s	4m 5s	100.2%	8.4 GB	40.5 GB	1.5 GB	2.1 MB
35	66/946ce5	775821	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_23_09_06__sub315147__r1)	COMPLETED	0	2026-05-16 13:33:25.063	4m 49s	4m 48s	99.2%	8.2 GB	40.4 GB	1.8 GB	1.9 MB
28	11/d33e11	782156	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_22_12_16__sub315147__r3)	COMPLETED	0	2026-05-16 13:35:20.680	4m 54s	4m 53s	99.4%	9.2 GB	40.3 GB	1.9 GB	2 MB
45	68/295bce	791489	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_24_03_04__sub315147__r2)	COMPLETED	0	2026-05-16 13:37:44.000	4m 28s	4m 27s	99.5%	8 GB	40.4 GB	1.6 GB	1.9 MB
43	3b/0c00e9	793231	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (S_24_01_04__sub315147__r3)	COMPLETED	0	2026-05-16 13:38:13.824	3m 58s	3m 57s	100.0%	6 GB	40.4 GB	1.5 GB	2.2 MB
