task_id	sample	replicate	seed	fastq	target_reads	output_fastq
1	EMOBON_RFORMOSA_211022_MERGED	1	42032	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_211022_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_211022_MERGED__sub315147__rep1.fastq.gz
2	EMOBON_RFORMOSA_211022_MERGED	2	42064	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_211022_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_211022_MERGED__sub315147__rep2.fastq.gz
3	EMOBON_RFORMOSA_211022_MERGED	3	42096	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_211022_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_211022_MERGED__sub315147__rep3.fastq.gz
4	EMOBON_RFORMOSA_211220_MERGED	1	42125	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_211220_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_211220_MERGED__sub315147__rep1.fastq.gz
5	EMOBON_RFORMOSA_211220_MERGED	2	42157	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_211220_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_211220_MERGED__sub315147__rep2.fastq.gz
6	EMOBON_RFORMOSA_211220_MERGED	3	42189	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_211220_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_211220_MERGED__sub315147__rep3.fastq.gz
7	EMOBON_RFORMOSA_220224_MERGED	1	42218	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220224_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220224_MERGED__sub315147__rep1.fastq.gz
8	EMOBON_RFORMOSA_220224_MERGED	2	42250	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220224_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220224_MERGED__sub315147__rep2.fastq.gz
9	EMOBON_RFORMOSA_220224_MERGED	3	42282	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220224_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220224_MERGED__sub315147__rep3.fastq.gz
10	EMOBON_RFORMOSA_220428_MERGED	1	42311	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220428_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220428_MERGED__sub315147__rep1.fastq.gz
11	EMOBON_RFORMOSA_220428_MERGED	2	42343	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220428_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220428_MERGED__sub315147__rep2.fastq.gz
12	EMOBON_RFORMOSA_220428_MERGED	3	42375	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220428_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220428_MERGED__sub315147__rep3.fastq.gz
13	EMOBON_RFORMOSA_220629_MERGED	1	42404	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220629_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220629_MERGED__sub315147__rep1.fastq.gz
14	EMOBON_RFORMOSA_220629_MERGED	2	42436	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220629_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220629_MERGED__sub315147__rep2.fastq.gz
15	EMOBON_RFORMOSA_220629_MERGED	3	42468	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220629_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220629_MERGED__sub315147__rep3.fastq.gz
16	EMOBON_RFORMOSA_220909_MERGED	1	42497	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220909_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220909_MERGED__sub315147__rep1.fastq.gz
17	EMOBON_RFORMOSA_220909_MERGED	2	42529	${RAW_DATA_ROOT}/merged_nanopore_RFormosa_SO/EMOBON_RFORMOSA_220909_MERGED.fastq.gz	315147	${PROJECT_HOME}/subsampling_min_reads_3reps/subsamples/EMOBON_RFORMOSA_220909_MERGED__sub315147__rep2.fastq.gz
