Sample	Number of reads	Number of bases	N50 read length	Longest read	Shortest read	Mean read length	Median read length	Mean read quality	Median read quality	Reads > 200bp	Reads > 500bp	Reads > 1000bp	Reads > 2000bp	Reads > 5000bp	Reads > 10000bp	Reads > 30000bp	Reads > 50000bp	Reads > 100000bp	Reads > 1000000bp	Reads > Q5	Reads > Q7	Reads > Q10	Reads > Q12	Reads > Q15	Reads > Q20	Reads > Q25	Reads > Q30
RFormosa_211022_run1	802464.0	6243347255.0	10441.0	500246.0	1000.0	7780.0	6369.0	21.62	22.28	802464	802464	802420	748244	494251	218679	3191	153	3	0	802464	802464	769350	755480	724051	555605	190471	18012
RFormosa_211220_run2	296287.0	2344163531.0	10539.0	120724.0	1000.0	7911.0	6510.0	21.42	22.13	296287	296287	296269	278954	185949	83096	1266	48	1	0	296287	296287	284699	279351	266683	202192	64559	4934
RFormosa_220224_run3	568050.0	4496324313.0	10533.0	73949.0	1000.0	7915.0	6582.0	21.31	21.94	568050	568050	568032	533919	359199	161057	1852	73	0	0	568050	568050	544594	534607	511721	380798	117702	8847
RFormosa_220428_run4	3346226.0	14539043994.0	5013.0	770896.0	1000.0	4344.0	3898.0	21.6	22.14	3346226	3346226	3345951	3000903	1045346	74789	368	64	13	0	3346226	3346226	3204783	3145284	3013396	2279978	785918	85712
RFormosa_220629_run5	628922.0	4808275103.0	9899.0	72430.0	1000.0	7645.0	6611.0	21.5	22.05	628922	628922	628895	593961	403672	167430	900	20	0	0	628922	628922	602610	591526	566267	423154	146857	15724
RFormosa_220909_run6	831937.0	5397838380.0	8525.0	168857.0	1000.0	6488.0	5287.0	21.44	22.11	831937	831937	831851	759591	439845	152492	1416	41	4	0	831937	831937	797157	781993	746708	562146	187545	17809
RFormosa_221021_run7	2016824.0	12748121221.0	8246.0	632435.0	1000.0	6320.0	5064.0	21.38	21.91	2016824	2016824	2016642	1824880	1021784	339948	4094	142	4	0	2016824	2016824	1938062	1902681	1817534	1348595	421534	38896
RFormosa_221216_run8	622457.0	4964979951.0	10611.0	82307.0	1000.0	7976.0	6561.0	21.66	22.33	622457	622457	622434	589379	392913	177238	2418	100	0	0	622457	622457	599250	588393	564766	436198	146478	11561
RFormosa_230420_run9	805882.0	5467395513.0	9028.0	130473.0	1000.0	6784.0	5414.0	21.41	21.94	805882	805882	805822	740863	435199	164717	1724	57	2	0	805882	805882	776193	762833	730732	540175	172714	15254
RFormosa_230703_run10	700986.0	5078202182.0	9441.0	146845.0	1000.0	7244.0	6028.0	21.41	22.11	700986	700986	700957	659143	418171	163715	1629	52	1	0	700986	700986	671380	659078	629736	474979	156078	13382
RFormosa_230906_run11	572877.0	4331918896.0	10032.0	579466.0	1000.0	7561.0	6200.0	21.55	22.22	572877	572877	572842	535737	347234	146867	1829	96	1	0	572877	572877	549826	539901	517620	394635	131268	11076
RFormosa_231025_run12	824730.0	7048193435.0	11338.0	96222.0	1000.0	8546.0	7131.0	21.76	22.49	824730	824730	824685	784245	553189	266314	4337	179	0	0	824730	824730	792422	778624	749142	588556	202664	15231
RFormosa_240104_run13	1177709.0	7746951918.0	9025.0	97882.0	1000.0	6577.0	5032.0	21.78	22.35	1177709	1177709	1177582	1050013	592559	229713	3814	175	0	0	1177709	1177709	1138604	1119718	1074034	825599	284126	28596
RFormosa_240304_run14	1736762.0	11598515192.0	8891.0	126601.0	1000.0	6678.0	5347.0	21.52	22.17	1736762	1736762	1736665	1596324	926284	345870	2914	114	3	0	1736762	1736762	1667096	1637216	1568184	1186735	399981	37462
RFormosa_240416_run15	15950753.0	73349966140.0	5431.0	85467.0	1000.0	4598.0	4217.0	16.83	20.3	15950753	15950753	15948272	14023111	5907902	450020	439	28	0	0	15950753	15950753	14903479	14436672	13402203	8426651	1551258	81832
RFormosa_240705_run16	1367848.0	8768137631.0	8526.0	97651.0	1000.0	6410.0	5079.0	21.61	22.27	1367848	1367848	1367737	1240471	694550	246605	2416	120	0	0	1367848	1367848	1310727	1286112	1231788	941996	328528	32400
RFormosa_240905_run17	925676.0	6952767577.0	9818.0	132409.0	1000.0	7511.0	6375.0	21.42	22.15	925676	925676	925631	867542	576680	237019	2155	69	1	0	925676	925676	886957	870083	831617	632573	203047	15970
RFormosa_241106_run18	1776743.0	12090755545.0	8815.0	236602.0	1000.0	6805.0	5545.0	21.36	22.08	1776743	1776743	1776644	1659834	986160	355036	3799	121	6	0	1776743	1776743	1698912	1666418	1589857	1194821	400689	35903
RFormosa_250307_run19	695142.0	2708245623.0	5653.0	156391.0	1000.0	3895.0	2598.0	21.26	21.82	695142	695142	694685	440793	170501	44149	546	41	2	0	695142	695142	666136	652795	623484	464182	138143	15558
RFormosa_250430_run20	965855.0	3564015579.0	4526.0	96253.0	1000.0	3690.0	3045.0	21.59	22.03	965855	965855	965499	719002	210451	22154	335	28	0	0	965855	965855	931214	914797	876365	654516	221805	28731
RFormosa_250710_run21	999398.0	3946484233.0	4949.0	130557.0	1000.0	3948.0	3264.0	21.76	22.25	999398	999398	999142	765038	262081	29291	278	25	1	0	999398	999398	961619	944658	906409	693977	243911	31593
RFormosa_250912_run22	1425314.0	5666324578.0	4990.0	147664.0	1000.0	3975.0	3241.0	21.63	22.17	1425314	1425314	1424897	1105090	378568	43924	369	32	5	0	1425314	1425314	1366350	1341482	1285477	977171	342140	43471
RFormosa_251125_run23	359581.0	1386919473.0	5088.0	149408.0	1000.0	3857.0	2998.0	21.28	21.73	359581	359581	359439	255843	92258	12353	125	7	1	0	359581	359581	345198	338874	323490	235081	74459	9144
