	SS-03	SS-06	SS-07	SS-12	SS-17	CoA-1	CoA-2	CoA-3	CoA-4
Dissimilatory sulfate reduction (dsrAB)	0	0	0	2	0	6	0	0	0
Sulfate activation (sat/aprA)	0	0	1	3	0	2	0	0	1
Thiosulfate oxidation (soxB)	1	1	0	0	2	1	0	0	0
Sulfide:quinone oxidoreductase (sqr)	1	1	1	0	3	4	0	1	0
Nitrate reduction (narG)	0	0	0	1	0	0	0	0	0
Denitrification (nirS/nirK)	0	2	0	0	0	0	0	0	0
Nitrogen fixation (nifH)	0	0	1	1	0	0	1	1	1
Urease (ureC)	0	0	1	0	2	3	1	1	1
RuBisCO (rbcL)	0	0	1	0	1	1	0	1	1
Photosystem II (psbA)	0	0	5	0	0	0	0	7	6
Photosystem I (psaA)	0	0	1	0	0	0	0	0	1
Glycoside hydrolases (GH)	78	19	31	14	8	8	18	46	35
Glycosyltransferases (GT)	26	13	36	27	19	24	29	39	40
Formate dehydrogenase (fdhA)	1	4	0	4	2	5	1	0	0
Acetyl-CoA synthetase (acs)	2	4	1	1	3	1	2	2	1
Cytochrome c oxidase (coxA)	1	2	2	0	1	2	0	2	2
Cytochrome bd oxidase (cydA)	1	0	0	2	1	0	0	1	0
Fumarate reductase (frdA)	0	1	0	1	2	0	1	0	0
Flagellar motility (fliC/motA)	0	6	0	3	0	0	4	0	0
Type IV pili (pilA)	0	0	2	0	0	2	0	1	1
Copper resistance (copA)	3	1	1	1	1	1	2	1	3
Oxidative stress (sodB/katE)	1	0	3	2	1	1	2	1	2
BGC: NRP (GECCO)	1	2	3	0	0	0	0	1	0
BGC: Polyketide (GECCO)	1	1	4	2	1	0	0	1	0
BGC: RiPP (GECCO)	0	0	3	1	0	0	0	0	0
BGC: Terpene (GECCO)	1	0	0	0	1	0	0	0	0
Portrait: Sulfate as electron acceptor	0	0	0	1	0	0	0	0	0
Portrait: H₂S production	0	0	0	1	0	0	0	0	0
Portrait: Nitrate reduction (portrait)	0	0	0	1	0	0	0	0	0
Portrait: Motile (portrait)	0	0	0	1	0	0	0	0	0
