	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
S_21_10_22	0.0	0.10277410837070546	0.10711684068688268	0.12156861576539593	0.1743084453968054	0.09624181544167099	0.17737413190113405	0.19407796773348937	0.11459016279979312	0.09027798368198685	0.08151904154231857	0.15282863119836504	0.09793107008617594	0.0906582244248675	0.1983906163920486	0.12391809722192806	0.1351935129718044	0.08640418766484859	0.37835192550537877	0.12506475712760765	0.17589837862071603	0.17060898606082056	0.10555943657906879
S_21_12_20	0.10277410837070546	0.0	0.12950368219814332	0.09342098567370175	0.19103285302279668	0.0975745639247009	0.1541310186419302	0.14583388070445957	0.13418439609085722	0.13176277264900854	0.07919129824929204	0.10971344317627683	0.08685145759191652	0.09323423816778634	0.1580747530942071	0.10424171537657141	0.09963368180827024	0.0794165054813775	0.33060462378601935	0.09857880306239238	0.14143408842983668	0.12382737381174519	0.11297155061874416
S_22_02_24	0.10711684068688268	0.12950368219814332	0.0	0.10908585645341011	0.17676882104752234	0.12788539155081435	0.17756254153498552	0.21801499365873384	0.07085029727527505	0.0989932167694251	0.10462217891132346	0.17968082670271016	0.12178939859075641	0.07600897470019538	0.19527367525070902	0.14662029753396075	0.16494352546064148	0.08699051570971968	0.4040554861782446	0.1258297387747775	0.21084826208773594	0.18139204949012055	0.11528289756924841
S_22_04_28	0.12156861576539593	0.09342098567370175	0.10908585645341011	0.0	0.1807334125488926	0.12350716222558193	0.16664668970028282	0.17539371971442377	0.10422181391981446	0.14062311900964622	0.09532254151375025	0.13173037843024468	0.10255949909360094	0.08237068217000977	0.15022290038792618	0.12550438060505115	0.1473537374593334	0.07444475303031466	0.37035503782196705	0.08347647636474248	0.1672290794528388	0.14040339474349822	0.09524206687145813
S_22_06_29	0.1743084453968054	0.19103285302279668	0.17676882104752234	0.1807334125488926	0.0	0.2022973274816098	0.1977871305435331	0.23298105325811047	0.16552852768250056	0.2090233184805286	0.1858828112910192	0.22521936628108516	0.18871422815920258	0.1727426168928166	0.19921844056270616	0.19015914377805385	0.24497828947843833	0.1769394239469658	0.4299444482297716	0.18551895346099712	0.22899317420595233	0.2302672614497316	0.15183126745414127
S_22_09_09	0.09624181544167099	0.0975745639247009	0.12788539155081435	0.12350716222558193	0.2022973274816098	0.0	0.18682557741422842	0.17474649775684242	0.15105681097258203	0.0989959932676174	0.08677138424490458	0.15475030416301527	0.10733383682007215	0.1077100706947716	0.18908525473529178	0.1367140055301164	0.1092293693229521	0.09301191323556111	0.34472586580720144	0.12461332287736154	0.16384180467256523	0.15738050588297361	0.1356185580182948
S_22_10_21	0.17737413190113405	0.1541310186419302	0.17756254153498552	0.16664668970028282	0.1977871305435331	0.18682557741422842	0.0	0.1526739084438382	0.17316390629918937	0.20598194074945908	0.15590906104360458	0.14018421603069475	0.12910689386264176	0.15318613213882226	0.12197725349362759	0.11963180903894131	0.1438466423080074	0.15420630974109495	0.329250473645077	0.1550166757024774	0.1852374292035171	0.1650228909971216	0.1791013806725258
S_22_12_16	0.19407796773348937	0.14583388070445957	0.21801499365873384	0.17539371971442377	0.23298105325811047	0.17474649775684242	0.1526739084438382	0.0	0.21321121887108838	0.22256167623466003	0.16744446454843007	0.12783730621774222	0.16260944963454402	0.1876060095798167	0.1396550468782473	0.14720535847482508	0.14147725711365405	0.17674049200348543	0.2784214322678496	0.1597397415859258	0.142687218971661	0.13527954270097942	0.20122870344155008
S_23_04_20	0.11459016279979312	0.13418439609085722	0.07085029727527505	0.10422181391981446	0.16552852768250056	0.15105681097258203	0.17316390629918937	0.21321121887108838	0.0	0.11339174517816993	0.11194568606599727	0.1770033646133302	0.12230206433388238	0.07751473482273183	0.19357406257950724	0.1515023391969327	0.17603289243259607	0.09311863023676592	0.41682160444949495	0.12797699663000295	0.21658207533264864	0.18553738237338166	0.11257919453671768
S_23_07_03	0.09027798368198685	0.13176277264900854	0.0989932167694251	0.14062311900964622	0.2090233184805286	0.0989959932676174	0.20598194074945908	0.22256167623466003	0.11339174517816993	0.0	0.10101918037213493	0.1914693943391599	0.12481004283432029	0.09758423232319952	0.22300258397761535	0.16009322462362943	0.14105287800146513	0.09563873446210203	0.38373365122331654	0.1494952042489533	0.20384409154418254	0.19201249475447194	0.13422394902250262
S_23_09_06	0.08151904154231857	0.07919129824929204	0.10462217891132346	0.09532254151375025	0.1858828112910192	0.08677138424490458	0.15590906104360458	0.16744446454843007	0.11194568606599727	0.10101918037213493	0.0	0.11308917271444874	0.07394746691673876	0.06966703422264453	0.17123909607846052	0.0888748976747655	0.1031953952355152	0.05939012504735204	0.347847985834999	0.10248795963681563	0.15030630573350845	0.13514566449850596	0.1045840846775662
