sample_id	taxon_rank	taxon_name	taxid_if_available	mean_relative_abundance_classified_only	sd_relative_abundance_classified_only	replicates_detected	mean_direct_reads_if_available	mean_clade_reads	notes
S_21_10_22	phylum	Proteobacteria	1224	0.5430567595857153	0.0008184361776940308	3	3687.3333333333335	79696.33333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Actinobacteria	201174	0.083828614050248	0.000520251822399582	3	91.66666666666667	12302.333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Bacteroidetes	976	0.07698179691723685	0.0005712215106580812	3	389.0	11297.666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Chordata	7711	0.05264901035109525	0.0003633697401465604	3	0.0	7726.666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Planctomycetes	203682	0.042504061554352546	0.00020118435242037964	3	26.666666666666668	6237.666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Firmicutes	1239	0.038398082432408186	0.000492839082423635	3	102.0	5635.333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Cyanobacteria	1117	0.03710678769096127	0.0004803364528761262	3	200.0	5445.666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Chloroflexi	200795	0.005064767220786262	0.00017348874181027026	3	6.333333333333333	743.3333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Euryarchaeota	28890	0.004581587968768411	0.00019386511749752613	3	1.6666666666666667	672.3333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Acidobacteria	57723	0.004569872501000848	5.308890988779412e-05	3	1.0	670.6666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Verrucomicrobia	74201	0.003943282993852006	8.95083519438278e-05	3	6.0	578.6666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Uroviricota	2731618	0.0032594968010923307	9.899293870748038e-05	3	0.0	478.3333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Spirochaetes	203691	0.003209282585721004	0.00015479142984063215	3	0.0	471.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Deinococcus-Thermus	1297	0.0027481386166794144	0.0001642707193967494	3	0.0	403.3333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Tenericutes	544448	0.0015698149165316935	0.00012159003842264329	3	2.0	230.33333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Chlorobi	1090	0.001283201920440723	7.291673604718028e-05	3	0.0	188.33333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Kiritimatiellaeota	134625	0.0012789918825819415	9.334720433932119e-05	3	0.3333333333333333	187.66666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Gemmatimonadetes	142182	0.0011605738290002532	7.915073125164956e-05	3	0.0	170.33333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Fusobacteria	32066	0.0008041166151262041	2.3466893853176963e-05	3	0.0	118.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Nitrospirae	40117	0.0007721722208600754	6.116584348947003e-05	3	0.0	113.33333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Nucleocytoviricota	2732007	0.0007381971770227075	6.139508002591377e-05	3	0.0	108.33333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Ignavibacteriae	1134404	0.0006744612768355799	6.50572337524955e-05	3	0.0	99.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Thermotogae	200918	0.0006132407289453202	8.488803596959791e-05	3	0.0	90.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Calditrichaeota	1930617	0.0005316426962474179	6.025985189566985e-05	3	0.0	78.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Thermodesulfobacteria	200940	0.0004769886307445876	1.957957653913744e-06	3	0.0	70.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Thaumarchaeota	651137	0.0004746978011743341	4.500986758694609e-05	3	0.6666666666666666	69.66666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Synergistetes	508458	0.00036340525696204926	4.1378893018396734e-05	3	0.0	53.333333333333336	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Chrysiogenetes	200938	0.00033851204780897863	5.1859011823642684e-05	3	0.0	49.666666666666664	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Deferribacteres	200930	0.00033170663381057827	3.290633162747441e-05	3	0.0	48.666666666666664	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Chlamydiae	204428	0.00031783945560690473	5.8432451688819464e-05	3	0.0	46.666666666666664	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Aquificae	200783	0.0003021001255599142	2.0969690705468506e-05	3	0.0	44.333333333333336	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Crenarchaeota	28889	0.0002158653978553259	3.312725987335942e-05	3	0.0	31.666666666666668	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Lokiarchaeota	1655434	0.00016351771072438666	3.099538576952662e-05	3	0.0	24.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Thermoplasmatota	2283796	0.00016122460131957092	1.5113090702763828e-05	3	0.0	23.666666666666668	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Peploviricota	2731361	0.00015443172641126305	3.1991681349320476e-05	3	0.0	22.666666666666668	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Armatimonadetes	67819	0.0001522337796105375	4.9472504114744994e-05	3	0.0	22.333333333333332	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
