date_tag	MG	date	raw_reads_total	raw_bases_total	qc_reads	qc_bases	read_n50	read_median_len	read_mean_len	classified_reads	unclassified_reads	kraken_total_reads	pct_classified	richness_genus
S_21_10_22	MG211022	2021-10-22	855131	6336220933	802464.0	6243347255.0	10441.0	6369.0	7780.0	391785.0	410679.0	802464.0	0.4882275092714439	1958
S_21_12_20	MG211220	2021-12-20	315147	2381675338	296287.0	2344163531.0	10539.0	6510.0	7911.0	152939.0	143348.0	296287.0	0.5161853203144249	1832
S_22_02_24	MG220224	2022-02-24	610706	4569144446	568050.0	4496324313.0	10533.0	6582.0	7915.0	283390.0	284660.0	568050.0	0.49888214065663233	1886
S_22_04_28	MG220428	2022-04-28	3592278	14858132863	3346226.0	14539043994.0	5013.0	3898.0	4344.0	1298489.0	2047737.0	3346226.0	0.3880458163913615	2018
S_22_06_29	MG220629	2022-06-29	671570	4879885387	628922.0	4808275103.0	9899.0	6611.0	7645.0	305153.0	323769.0	628922.0	0.4852000725050165	1934
S_22_09_09	MG220909	2022-09-09	921196	5513415548	831937.0	5397838380.0	8525.0	5287.0	6488.0	382960.0	448977.0	831937.0	0.4603233177512239	1930
S_22_10_21	MG221021	2022-10-21	2245517	13010413176	2016824.0	12748121221.0	8246.0	5064.0	6320.0	952596.0	1064228.0	2016824.0	0.47232480375084784	2021
S_22_12_16	MG221216	2022-12-16	656116	5034470001	622457.0	4964979951.0	10611.0	6561.0	7976.0	361919.0	260538.0	622457.0	0.5814361473965269	1882
S_23_04_20	MG230420	2023-04-20	871211	5551160031	805882.0	5467395513.0	9028.0	5414.0	6784.0	366806.0	439076.0	805882.0	0.45516092926756024	1922
S_23_07_03	MG230703	2023-07-03	742665	5157113188	700986.0	5078202182.0	9441.0	6028.0	7244.0	324671.0	376315.0	700986.0	0.4631633156724956	1925
S_23_09_06	MG230906	2023-09-06	619240	4406525825	572877.0	4331918896.0	10032.0	6200.0	7561.0	289195.0	283682.0	572877.0	0.5048116785976745	1905
S_23_10_25	MG231025	2023-10-25	870530	7145235310	824730.0	7048193435.0	11338.0	7131.0	8546.0	482655.0	342075.0	824730.0	0.5852278927649048	1931
S_24_01_04	MG240104	2024-01-04	1336479	7898373806	1177709.0	7746951918.0	9025.0	5032.0	6577.0	552458.0	625251.0	1177709.0	0.46909550661496174	1969
S_24_03_04	MG240304	2024-03-04	1841880	11780264452	1736762.0	11598515192.0	8891.0	5347.0	6678.0	805162.0	931600.0	1736762.0	0.46359950298313757	1994
S_24_04_16	MG240416	2024-04-16	21573034	77509074613	15950753.0	73349966140.0	5431.0	4217.0	4598.0	7199493.0	8751260.0	15950753.0	0.4513575628686621	2219
S_24_07_05	MG240705	2024-07-05	1518118	8959322740	1367848.0	8768137631.0	8526.0	5079.0	6410.0	662032.0	705816.0	1367848.0	0.4839952977231388	1952
S_24_09_05	MG240905	2024-09-05	991350	7079553435	925676.0	6952767577.0	9818.0	6375.0	7511.0	497583.0	428093.0	925676.0	0.5375347313746927	1934
S_24_11_06	MG241106	2024-11-06	1889625	12316414254	1776743.0	12090755545.0	8815.0	5545.0	6805.0	840064.0	936679.0	1776743.0	0.4728112056724017	1984
S_25_03_07	MG250307	2025-03-07	3349319	3531500689	695142.0	2708245623.0	5653.0	2598.0	3895.0	334681.0	360461.0	695142.0	0.48145702604647683	1828
S_25_04_30	MG250430	2025-04-30	1857133	3946116081	965855.0	3564015579.0	4526.0	3045.0	3690.0	355130.0	610725.0	965855.0	0.36768459033705886	1892
S_25_07_10	MG250710	2025-07-10	1791798	4314446764	999398.0	3946484233.0	4949.0	3264.0	3948.0	404998.0	594400.0	999398.0	0.4052419556573057	1931
S_25_09_12	MG250912	2025-09-12	2320810	6109234152	1425314.0	5666324578.0	4990.0	3241.0	3975.0	576097.0	849217.0	1425314.0	0.40418953297308524	1946
S_25_11_25	MG251125	2025-11-25	670270	1541106134	359581.0	1386919473.0	5088.0	2998.0	3857.0	126663.0	232918.0	359581.0	0.35225164844638623	1844
