MAG_ID	Phylum	Class	Order	Family	Genus
SS-01	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Site-B15
SS-02	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JAJDFU01
SS-03	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JARQTN01
SS-04	Actinomycetota	Actinomycetes	Jiangellales	Jiangellaceae	Jiangellaceae (fam.)
SS-05	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Sva-07
SS-06	Actinomycetota	Acidimicrobiia	UBA5794	ZC4RG35	JAHEDH01
SS-07	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya
SS-08	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	MRBY01	Limnothrix
SS-09	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	JABDQA01
SS-10	Desulfobacterota	Syntrophobacteria	BM002	BM002	BM002
SS-11	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA5852	JABZFP01
SS-12	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina
SS-13	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	JARRKU01
SS-14	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JAHTBL01
SS-15	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter
SS-16	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter
SS-17	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01
SS-18	Pseudomonadota	Gammaproteobacteria	BMS3Bbin11	BMS3Bbin11	BMS3Bbin11
SS-19	Pseudomonadota	Gammaproteobacteria	GCA-001735895	GCA-001735895	JACNJF01
SS-20	Pseudomonadota	Gammaproteobacteria	SZUA-229	SZUA-229	JABDQW01
SS-21	Pseudomonadota	Gammaproteobacteria	SZUA-229	SZUA-229	GCA-2746365
SS-22	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFE01
SS-23	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JBFGFX01
SS-24	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFB01
SS-25	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFB01
SS-26	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sva-25
SS-27	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145
SS-28	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36	SZUA-36 (fam.)
SS-29	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36	Marinihelvus
