task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
46	bd/2c0f15	1193320	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_251125)	CACHED	0	2026-04-29 13:07:22.902	6m 23s	6m 23s	92.7%	13.2 MB	19.7 MB	1.2 GB	1.1 GB
42	d5/30497a	1342245	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_250307)	CACHED	0	2026-04-29 13:31:06.185	13m 12s	13m 11s	92.5%	18.2 MB	25.7 MB	2.9 GB	2.1 GB
30	a6/67c232	1497182	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (RFormosa_240905)	CACHED	0	2026-04-29 14:15:15.280	19m 22s	19m 21s	99.9%	7.8 GB	40.4 GB	5.5 GB	1.9 MB
43	fe/8fc268	1334019	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_250430)	CACHED	0	2026-04-29 13:29:36.258	16m 23s	16m 22s	93.7%	22.1 MB	27.7 MB	3.2 GB	2.8 GB
34	2b/e14d61	1747994	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_240416)	CACHED	0	2026-04-29 17:18:05.785	4h 56m 45s	4h 56m 44s	98.7%	194.3 MB	207.7 MB	61.9 GB	58.8 GB
1	9a/cc4dd9	1193858	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_211022)	CACHED	0	2026-04-29 13:07:23.247	29m 17s	29m 16s	92.6%	19.9 MB	25.7 MB	4.9 GB	4.9 GB
22	c1/15a886	1194278	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_230906)	CACHED	0	2026-04-29 13:07:23.383	20m 23s	20m 23s	92.7%	15.5 MB	25.7 MB	3.4 GB	3.4 GB
33	01/0c7e16	1472725	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (RFormosa_250307)	CACHED	0	2026-04-29 14:07:07.493	7m 27s	7m 26s	100.2%	7.8 GB	40.4 GB	2.9 GB	2 MB
12	08/70fb48	1193942	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_221021)	CACHED	0	2026-04-29 13:07:23.290	53m 39s	53m 39s	98.3%	34.5 MB	39.7 MB	10.2 GB	10.1 GB
31	92/bc3391	1193296	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_240304)	CACHED	0	2026-04-29 13:07:22.858	52m 24s	52m 24s	93.7%	29.4 MB	37.7 MB	9.2 GB	9.1 GB
4	e7/b39fbd	1374129	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_211220)	CACHED	0	2026-04-29 13:36:40.257	10m 25s	10m 24s	94.2%	12.5 MB	19.7 MB	1.9 GB	1.8 GB
26	38/f80609	1536920	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (RFormosa_240304)	CACHED	0	2026-04-29 14:29:22.433	12m 43s	12m 41s	100.0%	9.7 GB	40.4 GB	9.3 GB	1.9 MB
37	e4/54025a	1445634	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (RFormosa_250710)	CACHED	0	2026-04-29 13:57:10.096	9m 59s	9m 59s	100.0%	18.7 GB	40.4 GB	3.4 GB	2.2 MB
28	70/712e22	1193647	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_240104)	CACHED	0	2026-04-29 13:07:23.158	36m 8s	36m 8s	93.2%	27.1 MB	39.7 MB	6.2 GB	6.1 GB
10	5a/5512be	1193565	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_220629)	CACHED	0	2026-04-29 13:07:23.113	22m 13s	22m 13s	92.6%	16.4 MB	25.7 MB	3.8 GB	3.8 GB
39	35/f22974	1193258	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_241106)	CACHED	0	2026-04-29 13:07:22.762	53m 54s	53m 53s	94.9%	32.1 MB	39.7 MB	9.7 GB	9.5 GB
44	c8/458a57	1193502	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_250710)	CACHED	0	2026-04-29 13:07:23.073	19m 12s	19m 11s	92.7%	22.5 MB	27.7 MB	3.4 GB	3.1 GB
38	61/fd32df	1193246	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_240905)	CACHED	0	2026-04-29 13:07:22.694	32m 59s	32m 58s	92.6%	19.4 MB	25.7 MB	5.5 GB	5.5 GB
9	cc/934b3b	1338293	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_220428)	CACHED	0	2026-04-29 13:30:28.452	1h 2m 11s	1h 2m 11s	96.2%	52.3 MB	63.7 MB	11.8 GB	11.6 GB
6	39/6150da	1193409	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_220224)	CACHED	0	2026-04-29 13:07:22.993	21m	20m 59s	92.7%	15.5 MB	25.7 MB	3.6 GB	3.5 GB
14	c2/792e6e	1193368	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_221216)	CACHED	0	2026-04-29 13:07:22.946	23m 5s	23m 5s	93.6%	18.1 MB	27.7 MB	3.9 GB	3.9 GB
11	82/f23c3a	1267598	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_220909)	CACHED	0	2026-04-29 13:13:46.278	24m 48s	24m 47s	93.6%	19.2 MB	25.7 MB	4.3 GB	4.3 GB
35	a5/9688bc	1322788	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_240705)	CACHED	0	2026-04-29 13:26:37.129	38m 46s	38m 45s	94.5%	26.6 MB	37.7 MB	7 GB	6.9 GB
41	f1/e85b0c	1409341	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (RFormosa_251125)	CACHED	0	2026-04-29 13:45:59.236	2m 52s	2m 52s	100.5%	7.4 GB	40.4 GB	1.2 GB	2 MB
16	cd/d1b7f0	1328078	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (RFormosa_230420)	CACHED	0	2026-04-29 13:28:22.626	24m 35s	24m 33s	94.1%	17.8 MB	24.7 MB	4.4 GB	4.3 GB
32	2c/e50b1a	1367808	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (RFormosa_241106)	CACHED	0	2026-04-29 13:35:35.476	13m 55s	13m 55s	98.3%	19.7 GB	40.3 GB	9.7 GB	2.1 MB
