sample	run_accession	instrument_platform	raw_fastq_filename
RFormosa_211022	run1	OXFORD_NANOPORE	EMOBON_RFORMOSA_211022_MERGED.fastq.gz
RFormosa_211220	run2	OXFORD_NANOPORE	EMOBON_RFORMOSA_211220_MERGED.fastq.gz
RFormosa_220224	run3	OXFORD_NANOPORE	EMOBON_RFORMOSA_220224_MERGED.fastq.gz
RFormosa_220428	run4	OXFORD_NANOPORE	EMOBON_RFORMOSA_220428_MERGED.fastq.gz
RFormosa_220629	run5	OXFORD_NANOPORE	EMOBON_RFORMOSA_220629_MERGED.fastq.gz
RFormosa_220909	run6	OXFORD_NANOPORE	EMOBON_RFORMOSA_220909_MERGED.fastq.gz
RFormosa_221021	run7	OXFORD_NANOPORE	EMOBON_RFORMOSA_221021_MERGED.fastq.gz
RFormosa_221216	run8	OXFORD_NANOPORE	EMOBON_RFORMOSA_221216_MERGED.fastq.gz
RFormosa_230420	run9	OXFORD_NANOPORE	EMOBON_RFORMOSA_230420_MERGED.fastq.gz
RFormosa_230703	run10	OXFORD_NANOPORE	EMOBON_RFORMOSA_230703_MERGED.fastq.gz
RFormosa_230906	run11	OXFORD_NANOPORE	EMOBON_RFORMOSA_230906_MERGED.fastq.gz
RFormosa_231025	run12	OXFORD_NANOPORE	EMOBON_RFORMOSA_231025_MERGED.fastq.gz
RFormosa_240104	run13	OXFORD_NANOPORE	EMOBON_RFORMOSA_240104_MERGED.fastq.gz
RFormosa_240304	run14	OXFORD_NANOPORE	EMOBON_RFORMOSA_240304_MERGED.fastq.gz
RFormosa_240416	run15	OXFORD_NANOPORE	EMOBON_RFORMOSA_240416_MERGED.fastq.gz
RFormosa_240705	run16	OXFORD_NANOPORE	EMOBON_RFORMOSA_240705_MERGED.fastq.gz
RFormosa_240905	run17	OXFORD_NANOPORE	EMOBON_RFORMOSA_240905_MERGED.fastq.gz
RFormosa_241106	run18	OXFORD_NANOPORE	EMOBON_RFORMOSA_241106_MERGED.fastq.gz
RFormosa_250307	run19	OXFORD_NANOPORE	EMOBON_RFORMOSA_250307_MERGED.fastq.gz
RFormosa_250430	run20	OXFORD_NANOPORE	EMOBON_RFORMOSA_250430_MERGED.fastq.gz
RFormosa_250710	run21	OXFORD_NANOPORE	EMOBON_RFORMOSA_250710_MERGED.fastq.gz
RFormosa_250912	run22	OXFORD_NANOPORE	EMOBON_RFORMOSA_250912_MERGED.fastq.gz
RFormosa_251125	run23	OXFORD_NANOPORE	EMOBON_RFORMOSA_251125_MERGED.fastq.gz
