Sample	Reads 100-1000 Kbp	Reads 50-100 Kbp	Reads 30-50 Kbp	Reads 10-30 Kbp	Reads 5-10 Kbp	Reads 2-5 Kbp	Reads 1-2 Kbp	Reads 500-1000 bp
RFormosa_211022_run1	3.0	150.0	3038.0	215488.0	275572.0	253993.0	54176.0	44.0
RFormosa_211220_run2	1.0	47.0	1218.0	81830.0	102853.0	93005.0	17315.0	18.0
RFormosa_220224_run3	0.0	73.0	1779.0	159205.0	198142.0	174720.0	34113.0	18.0
RFormosa_220428_run4	13.0	51.0	304.0	74421.0	970557.0	1955557.0	345048.0	275.0
RFormosa_220629_run5	0.0	20.0	880.0	166530.0	236242.0	190289.0	34934.0	27.0
RFormosa_220909_run6	4.0	37.0	1375.0	151076.0	287353.0	319746.0	72260.0	86.0
RFormosa_221021_run7	4.0	138.0	3952.0	335854.0	681836.0	803096.0	191762.0	182.0
RFormosa_221216_run8	0.0	100.0	2318.0	174820.0	215675.0	196466.0	33055.0	23.0
RFormosa_230420_run9	2.0	55.0	1667.0	162993.0	270482.0	305664.0	64959.0	60.0
RFormosa_230703_run10	1.0	51.0	1577.0	162086.0	254456.0	240972.0	41814.0	29.0
RFormosa_230906_run11	1.0	95.0	1733.0	145038.0	200367.0	188503.0	37105.0	35.0
RFormosa_231025_run12	0.0	179.0	4158.0	261977.0	286875.0	231056.0	40440.0	45.0
RFormosa_240104_run13	0.0	175.0	3639.0	225899.0	362846.0	457454.0	127569.0	127.0
RFormosa_240304_run14	3.0	111.0	2800.0	342956.0	580414.0	670040.0	140341.0	97.0
RFormosa_240416_run15	0.0	28.0	411.0	449581.0	5457882.0	8115209.0	1925161.0	2481.0
RFormosa_240705_run16	0.0	120.0	2296.0	244189.0	447945.0	545921.0	127266.0	111.0
RFormosa_240905_run17	1.0	68.0	2086.0	234864.0	339661.0	290862.0	58089.0	45.0
RFormosa_241106_run18	6.0	115.0	3678.0	351237.0	631124.0	673674.0	116810.0	99.0
RFormosa_250307_run19	2.0	39.0	505.0	43603.0	126352.0	270292.0	253892.0	457.0
RFormosa_250430_run20	0.0	28.0	307.0	21819.0	188297.0	508551.0	246497.0	356.0
RFormosa_250710_run21	1.0	24.0	253.0	29013.0	232790.0	502957.0	234104.0	256.0
RFormosa_250912_run22	5.0	27.0	337.0	43555.0	334644.0	726522.0	319807.0	417.0
RFormosa_251125_run23	1.0	6.0	118.0	12228.0	79905.0	163585.0	103596.0	142.0
