source_sample	bin_id	pass_GUNC	primary_gunc_summary_path_note
MG211022	METAMDBG-CONCOCTRefined-group-group_211022.46_sub	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-CONCOCTRefined-group-group_211022.54	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-CONCOCTRefined-group-group_211022.64	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-CONCOCTRefined-group-group_211022.93_sub	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MaxBin2Refined-group-group_211022.001	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MaxBin2Refined-group-group_211022.002	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MaxBin2Refined-group-group_211022.015	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MaxBin2Refined-group-group_211022.025	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MaxBin2Refined-group-group_211022.026	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBAT2Refined-group-group_211022.101	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBinnerRefined-group-group_211022.11	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBinnerRefined-group-group_211022.19	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBinnerRefined-group-group_211022.23_sub	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBinnerRefined-group-group_211022.3	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBinnerRefined-group-group_211022.30_sub	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBinnerRefined-group-group_211022.5_sub	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-MetaBinnerRefined-group-group_211022.8	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-SemiBin2Refined-group-group_211022.101_sub	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-SemiBin2Refined-group-group_211022.2	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-SemiBin2Refined-group-group_211022.3	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-SemiBin2Refined-group-group_211022.4	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-SemiBin2Refined-group-group_211022.85	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-DASToolUnbinned-group-group_211022	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-CONCOCTRefined-group-group_211022.18	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-CONCOCTRefined-group-group_211022.25_sub	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-CONCOCTRefined-group-group_211022.26	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-CONCOCTRefined-group-group_211022.39_sub	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-CONCOCTRefined-group-group_211022.47	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-MaxBin2Refined-group-group_211022.031_sub	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-MetaBinnerRefined-group-group_211022.3	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-MetaBinnerRefined-group-group_211022.5	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-MetaBinnerRefined-group-group_211022.6	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-SemiBin2Refined-group-group_211022.3	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-SemiBin2Refined-group-group_211022.4	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	FLYE-SemiBin2Refined-group-group_211022.6	True	per-sample `GenomeBinning/QC/gunc_summary.tsv`
MG211022	METAMDBG-DASToolUnbinned-group-group_211022	False	per-sample `GenomeBinning/QC/gunc_summary.tsv`
