contig_id	MAG_ID
contig_11537	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_12325	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_13322	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_15605	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_1659	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_17129	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_17290	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_1779	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_1892	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_19019	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_2537	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_29567	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_2966	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_30137	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_3026	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_3236	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_3450	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_3537	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_3888	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_4180	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_4698	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_5197	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_7970	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_870	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_8900	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
contig_9395	FLYE-MetaBAT2Refined-group-group_2025_4samples.8
ctg72	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg1037	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg1195	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg1244	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg1310	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg2164	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg2211	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg2218	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg2338	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg2417	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg3355	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg3747	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg4412	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg4953	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg5375	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg5829	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg5955	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg8189	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg8331	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg9705	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg10151	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg10294	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg11186	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg11336	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg11727	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
