sample	requested_depth	repeat	seed	source	observed_genera	full_depth_richness_genus_100pct	full_depth_processed_reads	percent_full_depth_genera_recovered	rarefaction_report	rarefaction_report_sha256
S_21_10_22	1000	1	101043	new_read_level_subsample	219	1958	802464	11.1848825332	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d1000__r1.krakenuniq.report.txt	f3275a79ff53b9d1dfd2e97f4a820660eadf269e8c294b4bf87a1c9ebbd76b75
S_21_10_22	1000	2	101044	new_read_level_subsample	222	1958	802464	11.3381001021	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d1000__r2.krakenuniq.report.txt	ed7f85686d08b375cee0a5417681a10bfcf4d8796d7a4b8647c74ff58ab1e7b7
S_21_10_22	1000	3	101045	new_read_level_subsample	207	1958	802464	10.5720122574	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d1000__r3.krakenuniq.report.txt	c78342729497e3c6e62c1a75da87745949790731275dfdc24e020f3600948e71
S_21_10_22	5000	1	102043	new_read_level_subsample	664	1958	802464	33.9121552605	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d5000__r1.krakenuniq.report.txt	633efdd67811a255b60f2cf321c2d86cb3a6fac9f735e55bbffc213fee7d35d8
S_21_10_22	5000	2	102044	new_read_level_subsample	665	1958	802464	33.9632277835	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d5000__r2.krakenuniq.report.txt	ac37e376c878f13a5b84c6ce9ecd903f7e081d816f1f2f5339d0ea45b53e90ed
S_21_10_22	5000	3	102045	new_read_level_subsample	659	1958	802464	33.6567926456	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d5000__r3.krakenuniq.report.txt	17b1126768e6d73d4d6439cff4c53f74269ac1456834057d7a8a17bbbdc82087
S_21_10_22	10000	1	103043	new_read_level_subsample	906	1958	802464	46.2717058223	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d10000__r1.krakenuniq.report.txt	c45bd96543a387dc973fc686ab2fc2708d1fb49648886608a57ac3255aff728d
S_21_10_22	10000	2	103044	new_read_level_subsample	908	1958	802464	46.3738508682	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d10000__r2.krakenuniq.report.txt	a03aad91d1ba73c7ab12a82a275b6a97a136831b07d6551473a9efba04d42de0
S_21_10_22	10000	3	103045	new_read_level_subsample	891	1958	802464	45.5056179775	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d10000__r3.krakenuniq.report.txt	f392257d70c1531b483c596d45ba73db9c41d05e7843d7d22d57651bf368f9eb
S_21_10_22	25000	1	104043	new_read_level_subsample	1286	1958	802464	65.6792645557	${CETA_RESULTS}/00_heavy_base_outputs/02_krakenuniq_subsamples/19_alpha_rarefaction_krakenuniq_all23_real/03_KRAKENUNIQ_REPORTS/S_21_10_22__d25000__r1.krakenuniq.report.txt	c606785166446d16c0d87a0fe27e3b326f84483e0e8b79f812a7e531edc4b261
