display_trait	sumtraits_trait	positive_feature	sample	replicate_n	included_in_main_figure	inferred_prevalence_percent_mean	inferred_prevalence_percent_sd	conditional_positive_fraction_percent_mean	conditional_positive_fraction_percent_sd	conditional_positive_fraction_rowwise_zscore	robust_interpretable_coverage_percent_mean	robust_interpretable_coverage_percent_sd	robust_coverage_rowwise_zscore
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_21_10_22	3	True	0.01480790446	0.002861680265	85.52254664	4.188588089	-0.7240648525	0.01724063162	0.002545099994	0.8760120355
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_21_12_20	3	True	0.01681754864	0	89.83050847	0	0.4085669227	0.01872142207	0	1.175138096
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_22_02_24	3	True	0.01935604654	0.001269248954	85.12732366	1.770427549	-0.8279752705	0.02274071042	0.001499559135	1.98705169
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_22_04_28	3	True	0.01311557252	0.001499559135	88.07843137	2.004608301	-0.05208205164	0.01491367521	0.001930134994	0.4059567969
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_22_06_29	3	True	0.01269248954	0.002198403675	83.03030303	3.784847272	-1.379315391	0.01523098744	0.001930134994	0.4700552385
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_22_09_09	3	True	0.01205786506	0.002518587812	82.09116011	5.75431647	-1.626231023	0.01459636297	0.001981614294	0.3418583553
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_22_10_21	3	True	0.01047130387	0.002518587812	91.77229567	1.169629194	0.919093702	0.01142324058	0.002820332866	-0.2991260609
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_22_12_16	3	True	0.01089438685	0.0007985516214	90.68535019	4.168646536	0.6333184249	0.01205786506	0.001454107351	-0.1709291776
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_23_04_20	3	True	0.01480790446	0.002228727917	89.69498911	0.704953799	0.3729367225	0.0165002364	0.002395654864	0.726449005
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_23_07_03	3	True	0.01544252894	0.0009160015313	88.5802022	4.218158985	0.07984148917	0.01745217311	0.001144085546	0.9187443299
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_23_09_06	3	True	0.0165002364	0.001144085546	88.08775287	2.006584705	-0.0496312814	0.01872142207	0.0009519367153	1.175138096
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_23_10_25	3	True	0.007721264468	0.001430840133	86.7003367	2.959325898	-0.414405089	0.008884742676	0.001454107351	-0.8119135938
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_24_01_04	3	True	0.01226940655	0.001201324746	93.46798188	5.107983675	1.364916613	0.01311557252	0.0007985516214	0.04273229441
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_24_03_04	3	True	0.01491367521	0.0005496009188	94.0982906	5.000334199	1.530634813	0.01586561192	0.0006346244768	0.5982521218
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_24_04_16	3	True	0.007615493722	0.001454107351	85.91269841	12.37387952	-0.621487739	0.008990513422	0.002015203369	-0.7905474466
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_24_07_05	3	True	0.01226940655	0.001321076196	90.90177134	3.760159236	0.6902189904	0.01353865551	0.001832003063	0.1281968832
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_24_09_05	3	True	0.01184632357	0.001938809802	78.56437149	6.683500566	-2.55347992	0.01501944595	0.001282402144	0.4273229441
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_24_11_06	3	True	0.01226940655	0.0007328012251	88.55683023	2.080811098	0.07369662775	0.01385596774	0.0007985516215	0.1922953249
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_25_03_07	3	True	0.001692331938	0.0004847024505	92.59259259	12.83000598	1.134762827	0.00190387343	0.0008395292708	-2.222079309
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_25_04_30	3	True	0.006346244768	0.0009519367152	92.71469271	3.704653995	1.166864894	0.006875098499	0.001282402144	-1.217870391
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_25_07_10	3	True	0.005394308053	0.002908214703	91.55462185	4.312201885	0.8618637875	0.005817391038	0.002879218817	-1.431531863
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_25_09_12	3	True	0.005817391038	0.001747619539	85.9047619	2.006791191	-0.6235743733	0.006769327753	0.002015203369	-1.239236538
Reduction: sulfate	reduction: sulfate	reduction_sulfate.true	S_25_11_25	3	True	0.005711620291	0.001679058542	86.89026915	1.14429651	-0.3644688227	0.006557786261	0.001859280043	-1.281968832
Oxidation in darkness: sulfide	oxidation in darkness: sulfide	oxidation_in_darkness_sulfide.true	S_21_10_22	3	True	0.08514545064	0.001747619539	0.3188173135	0.007255570511	0.1254078102	26.70764225	0.09450863278	0.4008370231
Oxidation in darkness: sulfide	oxidation in darkness: sulfide	oxidation_in_darkness_sulfide.true	S_21_12_20	3	True	0.09233786138	0	0.3151567661	0	0.02179688676	29.29902553	0	0.7937324683
Oxidation in darkness: sulfide	oxidation in darkness: sulfide	oxidation_in_darkness_sulfide.true	S_22_02_24	3	True	0.09984758435	0.0007328012251	0.3351700359	0.002663344144	0.5882677316	29.79022488	0.01853223004	0.8682062009
Oxidation in darkness: sulfide	oxidation in darkness: sulfide	oxidation_in_darkness_sulfide.true	S_22_04_28	3	True	0.08853011452	0.005825078376	0.3833349764	0.02404779377	1.951564921	23.09165776	0.07531359912	-0.1474044702
Oxidation in darkness: sulfide	oxidation in darkness: sulfide	oxidation_in_darkness_sulfide.true	S_22_06_29	3	True	0.08588584586	0.003785647157	0.3385851267	0.01551012731	0.6849310627	25.36742113	0.04338290015	0.1976379134
Oxidation in darkness: sulfide	oxidation in darkness: sulfide	oxidation_in_darkness_sulfide.true	S_22_09_09	3	True	0.06251051097	0.001454107351	0.2523799032	0.005953282553	-1.755087295	24.76854716	0.008276518645	0.1068389742
Oxidation in darkness: sulfide	oxidation in darkness: sulfide	oxidation_in_darkness_sulfide.true	S_22_10_21	3	True	0.07033754618	0.003812151428	0.2718737561	0.01507347175	-1.203318422	25.87258221	0.03226822609	0.2742284704
