target	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
Bonamia ostreae	34.904	19.039	39.135	32.789	63.462	43.366	35.962	51.828	33.847	31.731	89.905	34.904	43.366	42.308	22.212	34.904	38.077	32.789	8.462	31.731	13.75	15.866	27.5
Escherichia coli	2442.247	2570.229	2617.826	1603.485	2330.13	1712.428	2153.492	2936.196	2155.608	2116.473	2732.058	3799.285	2324.841	2350.226	1426.847	2371.38	2734.174	2340.707	434.718	883.186	986.841	1146.555	842.993
Lactococcus garvieae	522.507	545.777	514.046	315.197	478.084	470.68	464.334	505.584	399.813	471.738	469.622	486.545	511.93	380.775	334.236	420.968	566.931	468.564	173.464	248.561	227.407	225.292	267.6
Mycobacterium marinum	5511.714	6828.559	6144.223	4354.582	5447.193	4974.398	6230.955	9651.581	5588.926	4904.589	5930.566	8964.071	5316.038	5345.654	5853.353	5726.428	6591.633	5509.598	1110.593	2405.227	2758.501	2982.735	2250.801
Ostreavirus ostreidmalaco1 / Ostreid herpesvirus 1 / OsHV-1	0.0	0.0	3.173	0.0	0.0	0.0	4.231	3.173	0.0	0.0	0.0	3.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.173	0.0
Perkinsus olseni	324.716	288.754	276.062	245.388	720.299	250.677	232.696	351.159	261.254	266.542	330.005	450.583	288.754	328.947	190.387	387.121	301.447	285.581	74.04	156.541	191.445	166.06	251.734
Photobacterium damselae	446.353	320.485	373.371	171.349	406.16	326.832	259.138	419.91	319.428	313.081	408.275	524.623	335.293	351.159	199.907	392.409	406.16	358.563	74.04	139.617	185.099	200.964	116.348
Photobacterium damselae subsp. piscicida	1206.844	1101.073	1300.98	735.107	1139.151	973.091	1036.553	1244.922	1023.861	1067.227	1304.153	1561.176	1085.208	1147.613	691.741	1167.709	1309.442	1082.035	264.427	547.892	595.489	564.816	440.006
Pseudo-nitzschia	2454.939	3868.036	1716.659	3699.861	876.839	2496.19	2651.673	4718.433	1903.873	2123.877	3339.182	6665.672	3766.496	2514.171	1370.789	4129.29	3634.283	2716.193	1737.813	1563.292	3212.258	2881.195	1339.058
Salmonella enterica	3251.393	3887.075	3586.686	2288.879	3062.063	2626.288	3073.698	4240.349	3067.352	2721.481	3599.378	5508.54	3316.971	3201.68	1988.49	3367.741	3781.304	3316.971	638.855	1302.038	1461.752	1676.466	1147.613
Tenacibaculum maritimum	1678.582	1339.058	1186.748	614.528	938.187	1420.501	1966.278	2187.339	974.149	1582.33	1564.349	2380.899	1805.507	1406.751	802.8	1908.104	2652.73	1257.614	482.315	487.603	826.07	775.3	412.506
Tenacibaculum soleae	1859.45	1884.835	1266.076	760.492	1139.151	1791.756	2371.38	2660.134	1109.535	1871.084	1923.97	2720.424	2246.571	1735.698	888.474	2340.707	3411.107	1422.617	624.047	560.585	1012.226	894.821	521.45
Vibrio aestuarianus	869.436	698.087	731.934	448.468	679.048	552.123	550.008	745.684	575.393	609.239	699.145	954.052	703.375	649.432	347.986	820.781	681.164	631.451	149.137	267.6	286.639	357.505	264.427
Vibrio alginolyticus	1067.227	1094.727	1030.207	682.221	943.475	822.896	877.897	1029.149	972.033	889.532	1149.728	1453.29	991.072	893.763	541.546	1076.746	1068.285	913.859	203.08	428.372	464.334	510.873	430.487
Vibrio anguillarum	642.028	571.162	652.606	336.351	705.491	452.699	443.179	542.604	584.912	529.911	624.047	771.069	527.796	611.355	310.966	661.067	544.719	594.432	120.579	226.349	278.177	258.081	210.484
Vibrio cholerae	1192.036	1129.632	1222.71	728.76	1053.477	808.089	871.551	1269.249	1064.054	1051.361	1138.093	1756.852	1135.978	1070.4	609.239	1288.288	1103.189	1149.728	224.234	477.026	505.584	554.239	454.814
Vibrio harveyi	692.798	567.989	612.413	339.524	606.066	442.122	445.295	585.97	553.181	508.757	630.394	891.647	537.315	603.951	283.466	676.933	569.047	530.969	98.367	230.58	276.062	267.6	224.234
Vibrio parahaemolyticus	718.183	688.568	680.106	362.794	672.702	530.969	519.334	677.99	572.22	587.028	663.183	990.014	651.548	625.105	317.312	724.53	795.396	603.951	127.983	237.984	277.119	337.409	227.407
Vibrio tapetis	887.417	961.456	903.282	455.872	935.013	699.145	703.375	918.09	716.068	767.896	998.476	1244.922	847.224	873.666	468.564	882.128	988.956	811.262	178.753	323.658	414.621	427.314	268.658
Vibrio vulnificus	1029.149	1053.477	1113.766	627.221	939.244	753.088	710.779	1077.804	956.168	847.224	1073.573	1533.676	977.322	949.821	517.219	1045.015	1028.092	990.014	194.618	412.506	448.468	471.738	389.236
