Sample	Mean BLASTn-derived RPM	SD BLASTn-derived RPM
S_21_10_22	324.7162	4.8470
S_21_12_20	288.7541	0.0000
S_22_02_24	276.0616	13.8313
S_22_04_28	245.3881	40.4288
S_22_06_29	720.2988	23.9565
S_22_09_09	250.6767	14.5411
S_22_10_21	232.6956	9.6940
S_22_12_16	351.1589	12.8240
S_23_04_20	261.2537	6.6054
S_23_07_03	266.5423	8.3953
S_23_09_06	330.0047	11.4409
S_23_10_25	450.5834	44.9868
S_24_01_04	288.7541	5.4960
S_24_03_04	328.9470	9.6940
S_24_04_16	190.3873	19.3013
S_24_07_05	387.1209	39.7591
S_24_09_05	301.4466	36.5942
S_24_11_06	285.5810	17.6672
S_25_03_07	74.0395	10.2002
S_25_04_30	156.5407	21.1277
S_25_07_10	191.4451	24.2351
S_25_09_12	166.0601	22.2873
S_25_11_25	251.7344	23.8160
