target	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
Bonamia ostreae	-0.0487	-0.9829	0.2004	-0.1733	1.6328	0.4495	0.0135	0.9477	-0.111	-0.2356	3.1898	-0.0487	0.4495	0.3872	-0.7961	-0.0487	0.1381	-0.1733	-1.6057	-0.2356	-1.2943	-1.1698	-0.4847
Escherichia coli	0.4982	0.6583	0.7178	-0.5511	0.3579	-0.4148	0.137	1.1161	0.1396	0.0907	0.8607	2.1958	0.3513	0.3831	-0.772	0.4095	0.8634	0.3712	-2.0131	-1.4521	-1.3225	-1.1227	-1.5024
Lactococcus garvieae	0.9495	1.149	0.877	-0.8273	0.5688	0.5053	0.4509	0.8045	-0.1021	0.5144	0.4962	0.6413	0.8589	-0.2653	-0.6641	0.0792	1.3303	0.4872	-2.0421	-1.3985	-1.5798	-1.5979	-1.2353
Mycobacterium marinum	0.1395	0.8012	0.4574	-0.4419	0.1071	-0.1304	0.5009	2.2197	0.1783	-0.1655	0.35	1.8742	0.0412	0.0561	0.3112	0.2474	0.6822	0.1385	-2.0718	-1.4213	-1.2438	-1.1312	-1.4989
Ostreavirus ostreidmalaco1 / Ostreid herpesvirus 1 / OsHV-1	-0.5104	-0.5104	1.6907	-0.5104	-0.5104	-0.5104	2.4244	1.6907	-0.5104	-0.5104	-0.5104	1.6907	-0.5104	-0.5104	-0.5104	-0.5104	-0.5104	-0.5104	-0.5104	-0.5104	-0.5104	1.6907	-0.5104
Perkinsus olseni	0.2976	0.0074	-0.095	-0.3426	3.4901	-0.2999	-0.445	0.511	-0.2145	-0.1718	0.3403	1.3134	0.0074	0.3318	-0.7864	0.8013	0.1099	-0.0182	-1.7254	-1.0596	-0.7779	-0.9828	-0.2913
Photobacterium damselae	1.1896	0.1193	0.569	-1.149	0.8478	0.1732	-0.4024	0.9648	0.1103	0.0563	0.8658	1.8552	0.2452	0.3801	-0.9061	0.7309	0.8478	0.4431	-1.9765	-1.4188	-1.032	-0.8971	-1.6167
Photobacterium damselae subsp. piscicida	0.6849	0.3624	0.9718	-0.7533	0.4785	-0.0278	0.1657	0.8009	0.127	0.2592	0.9815	1.7651	0.314	0.5043	-0.8855	0.5656	0.9976	0.3044	-2.1882	-1.324	-1.1789	-1.2724	-1.6529
Pseudo-nitzschia	-0.2962	0.7835	-0.8603	0.655	-1.5019	-0.2647	-0.1459	1.4332	-0.7172	-0.5491	0.3794	2.921	0.7059	-0.2509	-1.1245	0.9831	0.6049	-0.0966	-0.8441	-0.9775	0.2824	0.0295	-1.1488
Salmonella enterica	0.3354	0.9012	0.6338	-0.5212	0.1669	-0.2209	0.1773	1.2156	0.1716	-0.1362	0.6451	2.3442	0.3938	0.2912	-0.7885	0.439	0.807	0.3938	-1.9896	-1.3994	-1.2573	-1.0662	-1.5368
Tenacibaculum maritimum	0.549	0.0102	-0.2315	-1.1396	-0.6259	0.1395	1.0056	1.3564	-0.5689	0.3963	0.3677	1.6636	0.7504	0.1176	-0.8408	0.9133	2.0949	-0.119	-1.3494	-1.341	-0.8039	-0.8844	-1.4602
Tenacibaculum soleae	0.3198	0.3523	-0.4392	-1.0858	-0.6015	0.2332	0.9746	1.344	-0.6394	0.3347	0.4023	1.4211	0.815	0.1615	-0.9221	0.9354	2.3045	-0.2389	-1.2604	-1.3415	-0.7639	-0.914	-1.3916
Vibrio aestuarianus	1.3749	0.5692	0.7283	-0.6046	0.4796	-0.1172	-0.1272	0.793	-0.0078	0.1514	0.5741	1.7728	0.594	0.3404	-1.0771	1.1461	0.4896	0.2558	-2.0122	-1.4551	-1.3656	-1.0324	-1.47
Vibrio alginolyticus	0.7344	0.8271	0.6096	-0.5633	0.3173	-0.0891	0.0963	0.6061	0.4136	0.1355	1.0125	2.0357	0.4777	0.1497	-1.0375	0.7665	0.738	0.2175	-2.1783	-1.4189	-1.2977	-1.1409	-1.4118
Vibrio anguillarum	0.8608	0.4674	0.9195	-0.836	1.213	-0.1902	-0.243	0.3089	0.5437	0.2384	0.7609	1.577	0.2267	0.6905	-0.9769	0.9664	0.3206	0.5966	-2.0337	-1.4466	-1.1589	-1.2704	-1.5346
Vibrio cholerae	0.6828	0.5065	0.7695	-0.6262	0.2913	-0.402	-0.2227	0.901	0.3212	0.2854	0.5304	2.2788	0.5244	0.3391	-0.9639	0.9548	0.4318	0.5633	-2.0518	-1.3375	-1.2568	-1.1193	-1.4002
Vibrio harveyi	1.0962	0.4351	0.6704	-0.7751	0.6368	-0.2317	-0.2149	0.5303	0.3566	0.1213	0.7656	2.1495	0.2726	0.6256	-1.0721	1.0121	0.4407	0.239	-2.0525	-1.3522	-1.1113	-1.1561	-1.3858
Vibrio parahaemolyticus	0.8	0.6614	0.6217	-0.8642	0.5871	-0.0767	-0.1312	0.6118	0.1165	0.1859	0.5425	2.073	0.488	0.3642	-1.0772	0.8298	1.1616	0.2651	-1.9638	-1.4487	-1.2654	-0.9831	-1.4982
Vibrio tapetis	0.5888	0.8572	0.6463	-0.976	0.7614	-0.0939	-0.0785	0.7	-0.0325	0.1554	0.9915	1.8851	0.443	0.5389	-0.93	0.5696	0.957	0.3127	-1.9808	-1.4554	-1.1255	-1.0795	-1.6548
Vibrio vulnificus	0.6278	0.7053	0.8974	-0.653	0.3413	-0.2519	-0.3867	0.7828	0.3952	0.0481	0.7694	2.2355	0.4626	0.375	-1.0035	0.6784	0.6244	0.5031	-2.0316	-1.3372	-1.2226	-1.1485	-1.4114
