source_sample	source_run	bin_id	completeness_checkm2	contamination_checkm2	operational_category
MG250430	run_20260414_143455	FLYE-MetaBAT2Refined-group-group_250430.3.fa	13.84	0.39	LQ
MG250430	run_20260414_143455	FLYE-MetaBAT2Refined-group-group_250430.7.fa	69.85	12.72	LQ
MG250430	run_20260414_143455	METAMDBG-CONCOCTRefined-group-group_250430.25.fa	34.38	5.11	LQ
MG250430	run_20260414_143455	METAMDBG-CONCOCTRefined-group-group_250430.6_sub.fa	51.05	4.27	MQ
MG250430	run_20260414_143455	METAMDBG-MaxBin2Refined-group-group_250430.010_sub.fa	62.63	14.68	LQ
MG250430	run_20260414_143455	METAMDBG-MetaBinnerRefined-group-group_250430.2.fa	58.24	13.15	LQ
MG250430	run_20260414_143455	METAMDBG-SemiBin2Refined-group-group_250430.0.fa	75.67	1.51	MQ
MG250710	run_20260414_170153	FLYE-MaxBin2Refined-group-group_250710.003.fa	82.28	15.96	LQ
MG250710	run_20260414_170153	FLYE-MaxBin2Refined-group-group_250710.004.fa	57.57	4.51	MQ
MG250710	run_20260414_170153	FLYE-MaxBin2Refined-group-group_250710.007.fa	59.02	14.14	LQ
MG250710	run_20260414_170153	FLYE-MetaBAT2Refined-group-group_250710.15.fa	24.25	0.01	LQ
MG250710	run_20260414_170153	METAMDBG-CONCOCTRefined-group-group_250710.21.fa	23.61	0.4	LQ
MG250710	run_20260414_170153	METAMDBG-CONCOCTRefined-group-group_250710.23.fa	76.63	5.57	MQ
MG250710	run_20260414_170153	METAMDBG-CONCOCTRefined-group-group_250710.9_sub.fa	75.8	21.34	LQ
MG250710	run_20260414_170153	METAMDBG-MetaBAT2Refined-group-group_250710.12.fa	49.56	5.64	LQ
MG250710	run_20260414_170153	METAMDBG-MetaBAT2Refined-group-group_250710.5_sub.fa	61.38	3.87	MQ
MG250710	run_20260414_170153	METAMDBG-MetaBinnerRefined-group-group_250710.1.fa	97.09	8.87	MQ
MG250710	run_20260414_170153	METAMDBG-SemiBin2Refined-group-group_250710.0.fa	88.0	2.76	MQ
MG250710	run_20260414_170153	METAMDBG-SemiBin2Refined-group-group_250710.2.fa	61.54	0.18	MQ
MG250710	run_20260414_170153	METAMDBG-SemiBin2Refined-group-group_250710.4_sub.fa	31.72	0.08	LQ
MG230420	run_20260415_201034	FLYE-CONCOCTRefined-group-group_230420.25.fa	80.24	0.21	MQ
MG230420	run_20260415_201034	FLYE-CONCOCTRefined-group-group_230420.34.fa	68.11	15.77	LQ
MG230420	run_20260415_201034	FLYE-CONCOCTRefined-group-group_230420.58.fa	73.53	8.68	MQ
MG230420	run_20260415_201034	FLYE-MaxBin2Refined-group-group_230420.004_sub.fa	41.95	9.54	LQ
MG230420	run_20260415_201034	FLYE-MetaBAT2Refined-group-group_230420.1_sub.fa	77.7	29.75	LQ
MG230420	run_20260415_201034	FLYE-MetaBinnerRefined-group-group_230420.3.fa	48.96	3.42	LQ
MG230420	run_20260415_201034	FLYE-MetaBinnerRefined-group-group_230420.6.fa	75.95	9.44	MQ
MG230420	run_20260415_201034	FLYE-SemiBin2Refined-group-group_230420.1.fa	88.94	1.56	MQ
MG230420	run_20260415_201034	FLYE-SemiBin2Refined-group-group_230420.42.fa	42.29	6.43	LQ
MG230420	run_20260415_201034	FLYE-SemiBin2Refined-group-group_230420.6.fa	50.84	1.86	MQ
MG230420	run_20260415_201034	METAMDBG-CONCOCTRefined-group-group_230420.11_sub.fa	29.15	4.27	LQ
MG230420	run_20260415_201034	METAMDBG-CONCOCTRefined-group-group_230420.26.fa	85.7	47.12	LQ
MG230420	run_20260415_201034	METAMDBG-CONCOCTRefined-group-group_230420.43_sub.fa	31.13	7.5	LQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.011_sub.fa	72.48	22.66	LQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.012.fa	54.86	7.22	MQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.015_sub.fa	59.22	20.78	LQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.016_sub.fa	61.97	11.39	LQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.021_sub.fa	68.06	6.33	MQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.023_sub.fa	52.3	6.86	MQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.033_sub.fa	58.15	12.58	LQ
MG230420	run_20260415_201034	METAMDBG-MaxBin2Refined-group-group_230420.042_sub.fa	45.27	6.95	LQ
MG230420	run_20260415_201034	METAMDBG-MetaBAT2Refined-group-group_230420.118_sub.fa	67.69	1.12	MQ
MG230420	run_20260415_201034	METAMDBG-MetaBAT2Refined-group-group_230420.19.fa	75.17	21.91	LQ
MG230420	run_20260415_201034	METAMDBG-MetaBAT2Refined-group-group_230420.20.fa	72.44	4.93	MQ
MG230420	run_20260415_201034	METAMDBG-MetaBAT2Refined-group-group_230420.41_sub.fa	74.55	19.28	LQ
MG230420	run_20260415_201034	METAMDBG-MetaBAT2Refined-group-group_230420.91.fa	90.44	10.7	LQ
MG230420	run_20260415_201034	METAMDBG-MetaBinnerRefined-group-group_230420.1.fa	91.37	11.91	LQ
MG230420	run_20260415_201034	METAMDBG-MetaBinnerRefined-group-group_230420.12_sub.fa	53.75	7.86	MQ
MG230420	run_20260415_201034	METAMDBG-MetaBinnerRefined-group-group_230420.15_sub.fa	34.14	2.83	LQ
MG230420	run_20260415_201034	METAMDBG-MetaBinnerRefined-group-group_230420.16_sub.fa	29.35	3.37	LQ
MG230420	run_20260415_201034	METAMDBG-MetaBinnerRefined-group-group_230420.18.fa	53.59	9.58	MQ
MG230420	run_20260415_201034	METAMDBG-MetaBinnerRefined-group-group_230420.2.fa	86.15	1.05	MQ
MG230420	run_20260415_201034	METAMDBG-MetaBinnerRefined-group-group_230420.20_sub.fa	55.79	8.45	MQ
MG230420	run_20260415_201034	METAMDBG-SemiBin2Refined-group-group_230420.25.fa	54.07	11.15	LQ
MG230420	run_20260415_201034	METAMDBG-SemiBin2Refined-group-group_230420.4.fa	75.63	19.96	LQ
MG230420	run_20260415_201034	METAMDBG-SemiBin2Refined-group-group_230420.6.fa	19.84	0.09	LQ
MG230420	run_20260415_201034	METAMDBG-SemiBin2Refined-group-group_230420.9.fa	47.06	0.4	LQ
MG240104	run_20260416_122844	FLYE-CONCOCTRefined-group-group_240104.11.fa	44.37	5.06	LQ
MG240104	run_20260416_122844	FLYE-CONCOCTRefined-group-group_240104.40.fa	54.44	5.19	MQ
MG240104	run_20260416_122844	FLYE-CONCOCTRefined-group-group_240104.56.fa	59.74	8.72	MQ
MG240104	run_20260416_122844	FLYE-MetaBAT2Refined-group-group_240104.1.fa	52.64	6.44	MQ
MG240104	run_20260416_122844	FLYE-SemiBin2Refined-group-group_240104.0.fa	74.69	5.57	MQ
MG240104	run_20260416_122844	FLYE-SemiBin2Refined-group-group_240104.1.fa	57.23	3.29	MQ
MG240104	run_20260416_122844	METAMDBG-CONCOCTRefined-group-group_240104.24_sub.fa	58.08	16.11	LQ
MG240104	run_20260416_122844	METAMDBG-CONCOCTRefined-group-group_240104.32.fa	84.56	27.29	LQ
MG240104	run_20260416_122844	METAMDBG-CONCOCTRefined-group-group_240104.49_sub.fa	82.71	24.78	LQ
MG240104	run_20260416_122844	METAMDBG-CONCOCTRefined-group-group_240104.57.fa	23.86	0.44	LQ
MG240104	run_20260416_122844	METAMDBG-MaxBin2Refined-group-group_240104.010.fa	79.58	20.49	LQ
MG240104	run_20260416_122844	METAMDBG-MaxBin2Refined-group-group_240104.046_sub.fa	45.71	6.29	LQ
MG240104	run_20260416_122844	METAMDBG-MaxBin2Refined-group-group_240104.049_sub.fa	44.53	9.76	LQ
MG240104	run_20260416_122844	METAMDBG-MaxBin2Refined-group-group_240104.050.fa	57.97	8.47	MQ
MG240104	run_20260416_122844	METAMDBG-MetaBAT2Refined-group-group_240104.41_sub.fa	18.22	0.09	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBAT2Refined-group-group_240104.57_sub.fa	36.09	5.44	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBAT2Refined-group-group_240104.81_sub.fa	59.84	0.29	MQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.15_sub.fa	52.79	11.94	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.16.fa	44.71	8.3	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.17.fa	40.06	6.78	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.19.fa	47.31	6.37	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.21_sub.fa	44.68	3.63	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.23.fa	50.53	6.23	MQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.2_sub.fa	68.8	9.37	MQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.5_sub.fa	55.79	10.52	LQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.6.fa	54.21	6.98	MQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.7.fa	58.86	8.96	MQ
MG240104	run_20260416_122844	METAMDBG-MetaBinnerRefined-group-group_240104.9.fa	67.9	11.4	LQ
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.0.fa	90.47	4.94	HQ_candidate
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.1.fa	65.85	6.06	MQ
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.3.fa	31.7	1.31	LQ
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.5_sub.fa	32.7	0.05	LQ
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.71.fa	54.67	13.29	LQ
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.72_sub.fa	26.25	7.18	LQ
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.8.fa	16.98	0.06	LQ
MG250912	run_20260415_202352	FLYE-CONCOCTRefined-group-group_250912.35_sub.fa	56.58	2.9	MQ
MG250912	run_20260415_202352	FLYE-CONCOCTRefined-group-group_250912.4.fa	56.98	5.5	MQ
MG250912	run_20260415_202352	FLYE-MaxBin2Refined-group-group_250912.003_sub.fa	74.59	18.67	LQ
MG250912	run_20260415_202352	FLYE-MaxBin2Refined-group-group_250912.015.fa	43.53	9.41	LQ
MG250912	run_20260415_202352	FLYE-MetaBAT2Refined-group-group_250912.26.fa	93.35	7.85	MQ
MG250912	run_20260415_202352	FLYE-MetaBAT2Refined-group-group_250912.8_sub.fa	30.53	0.43	LQ
MG250912	run_20260415_202352	FLYE-MetaBinnerRefined-group-group_250912.3.fa	51.28	3.29	MQ
MG250912	run_20260415_202352	FLYE-SemiBin2Refined-group-group_250912.25.fa	65.55	9.57	MQ
