genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
METAMDBG-CONCOCTRefined-group-group_240416.113	3947	3456	138	class	0.58	0.5	0.08	0.59	2.61	0.51	0.26	True
METAMDBG-CONCOCTRefined-group-group_240416.12_sub	4241	3972	80	order	0.77	0.72	0.2	0.06	0.13	0.66	0.48	True
METAMDBG-CONCOCTRefined-group-group_240416.137	2884	2533	44	phylum	0.87	0.76	0.1	0.44	1.67	0.56	0.43	True
METAMDBG-CONCOCTRefined-group-group_240416.142	5773	5171	50	class	0.79	0.71	0.06	0.7	5.01	0.53	0.38	True
METAMDBG-CONCOCTRefined-group-group_240416.151_sub	3312	3173	117	phylum	0.96	0.92	0.37	0.06	0.12	0.68	0.63	True
METAMDBG-CONCOCTRefined-group-group_240416.153_sub	5965	5120	310	phylum	0.83	0.72	0.14	0.66	3.34	0.52	0.37	True
METAMDBG-CONCOCTRefined-group-group_240416.16_sub	5522	4927	314	phylum	0.88	0.79	0.46	0.12	0.26	0.54	0.42	False
METAMDBG-CONCOCTRefined-group-group_240416.184_sub	3766	3157	270	class	0.68	0.57	0.19	0.13	0.32	0.61	0.35	True
METAMDBG-CONCOCTRefined-group-group_240416.186_sub	4551	4302	54	genus	0.61	0.57	0.89	0.11	0.23	0.86	0.5	False
METAMDBG-CONCOCTRefined-group-group_240416.187_sub	7524	5088	584	class	0.6	0.4	0.34	0.64	4.9	0.49	0.2	True
METAMDBG-CONCOCTRefined-group-group_240416.18_sub	3232	2588	258	class	0.56	0.45	0.27	0.79	7.99	0.51	0.23	True
METAMDBG-CONCOCTRefined-group-group_240416.206_sub	5872	4678	423	phylum	0.83	0.66	0.37	0.59	2.31	0.52	0.35	True
METAMDBG-CONCOCTRefined-group-group_240416.212_sub	4024	3868	76	family	0.82	0.79	0.41	0.11	0.24	0.78	0.62	True
METAMDBG-CONCOCTRefined-group-group_240416.255_sub	4335	3601	324	class	0.62	0.51	0.23	0.75	5.46	0.51	0.26	True
METAMDBG-CONCOCTRefined-group-group_240416.266_sub	1109	996	18	genus	0.52	0.47	0.24	0.65	3.88	0.62	0.29	True
METAMDBG-CONCOCTRefined-group-group_240416.30	1970	1573	93	phylum	0.79	0.63	0.55	0.57	1.92	0.54	0.34	False
METAMDBG-CONCOCTRefined-group-group_240416.313	8223	6987	638	class	0.77	0.65	0.15	0.19	0.5	0.57	0.37	True
METAMDBG-CONCOCTRefined-group-group_240416.52_sub	6588	5882	516	family	0.59	0.53	0.62	0.66	3.92	0.61	0.32	False
METAMDBG-CONCOCTRefined-group-group_240416.76_sub	5572	4825	444	phylum	0.92	0.8	0.59	0.36	1.17	0.65	0.51	False
METAMDBG-CONCOCTRefined-group-group_240416.78_sub	5520	5004	490	class	0.86	0.78	0.23	0.09	0.2	0.62	0.48	True
METAMDBG-CONCOCTRefined-group-group_240416.94	4093	3655	225	family	0.77	0.68	0.73	0.47	1.36	0.66	0.45	False
METAMDBG-CONCOCTRefined-group-group_240416.97	4455	3827	13	phylum	0.83	0.72	0.01	0.05	0.12	0.57	0.41	True
METAMDBG-CONCOCTRefined-group-group_240416.99_sub	1674	1440	30	phylum	0.91	0.78	0.29	0.3	0.88	0.6	0.47	True
METAMDBG-MaxBin2Refined-group-group_240416.001	2678	2525	11	phylum	0.95	0.89	0.06	0.04	0.09	0.61	0.54	True
METAMDBG-MaxBin2Refined-group-group_240416.002	4221	3908	17	class	0.89	0.82	0.08	0.12	0.27	0.65	0.54	True
METAMDBG-MaxBin2Refined-group-group_240416.006	2911	2693	12	family	0.88	0.81	0.27	0.04	0.08	0.82	0.66	True
METAMDBG-MaxBin2Refined-group-group_240416.013	2733	2380	14	phylum	0.82	0.71	0.01	0.6	2.69	0.5	0.35	True
METAMDBG-MaxBin2Refined-group-group_240416.014	3237	3020	31	phylum	0.96	0.9	0.01	0.06	0.13	0.65	0.59	True
METAMDBG-MaxBin2Refined-group-group_240416.016_sub	3065	2983	25	class	0.95	0.92	0.05	0.03	0.06	0.7	0.65	True
METAMDBG-MaxBin2Refined-group-group_240416.020	4276	3919	21	class	0.88	0.81	0.02	0.21	0.56	0.57	0.46	True
METAMDBG-MaxBin2Refined-group-group_240416.021	3162	2995	25	order	0.91	0.87	0.49	0.05	0.1	0.73	0.64	False
METAMDBG-MaxBin2Refined-group-group_240416.022	4067	3560	21	order	0.61	0.54	0.03	0.58	3.77	0.53	0.28	True
METAMDBG-MaxBin2Refined-group-group_240416.030	3880	3350	20	class	0.77	0.66	0.02	0.64	2.74	0.53	0.35	True
METAMDBG-MaxBin2Refined-group-group_240416.031_sub	193	129	6	class	0.92	0.62	0.57	0.03	0.05	0.64	0.4	False
METAMDBG-MaxBin2Refined-group-group_240416.032_sub	4849	4511	37	class	0.88	0.82	0.02	0.25	0.74	0.57	0.47	True
METAMDBG-MaxBin2Refined-group-group_240416.037	2869	2667	58	phylum	0.96	0.89	0.06	0.05	0.11	0.6	0.53	True
METAMDBG-MaxBin2Refined-group-group_240416.042_sub	3110	2668	137	class	0.71	0.61	0.16	0.13	0.31	0.6	0.36	True
METAMDBG-MaxBin2Refined-group-group_240416.043	3476	3196	30	family	0.69	0.63	0.11	0.04	0.07	0.62	0.39	True
METAMDBG-MaxBin2Refined-group-group_240416.048	3124	2853	71	phylum	0.94	0.86	0.07	0.13	0.31	0.57	0.49	True
METAMDBG-MaxBin2Refined-group-group_240416.053_sub	866	773	91	class	0.9	0.81	0.19	0.16	0.4	0.58	0.47	True
METAMDBG-MaxBin2Refined-group-group_240416.063_sub	4950	4522	391	family	0.8	0.73	0.33	0.09	0.2	0.83	0.6	True
METAMDBG-MaxBin2Refined-group-group_240416.068	4912	4457	332	order	0.77	0.7	0.35	0.37	1.28	0.64	0.45	True
METAMDBG-MaxBin2Refined-group-group_240416.071_sub	2008	1879	132	genus	0.89	0.83	0.35	0.22	0.54	0.8	0.66	True
METAMDBG-MaxBin2Refined-group-group_240416.076_sub	1345	825	86	kingdom	1.0	0.61	0.27	0.42	0.94	0.52	0.32	True
METAMDBG-MaxBin2Refined-group-group_240416.122_sub	3546	2888	213	class	0.71	0.58	0.44	0.74	4.78	0.61	0.35	True
METAMDBG-MaxBin2Refined-group-group_240416.166_sub	2713	2317	199	order	0.56	0.48	0.3	0.3	1.0	0.6	0.29	True
METAMDBG-MaxBin2Refined-group-group_240416.168_sub	6937	5955	499	genus	0.54	0.46	0.36	0.05	0.11	0.58	0.27	True
METAMDBG-MaxBin2Refined-group-group_240416.171_sub	4912	4450	363	order	0.86	0.78	0.21	0.06	0.12	0.71	0.55	True
METAMDBG-MaxBin2Refined-group-group_240416.250_sub	2714	2257	285	order	0.55	0.46	0.15	0.66	3.71	0.56	0.25	True
METAMDBG-MaxBin2Refined-group-group_240416.267_sub	3878	2386	277	kingdom	1.0	0.62	0.68	0.46	0.99	0.58	0.36	False
METAMDBG-MetaBAT2Refined-group-group_240416.1037	3944	3788	40	genus	0.76	0.73	0.1	0.26	0.77	0.79	0.58	True
METAMDBG-MetaBAT2Refined-group-group_240416.1042_sub	1752	1634	118	family	0.75	0.7	0.27	0.13	0.31	0.75	0.52	True
METAMDBG-MetaBAT2Refined-group-group_240416.1043	1863	1152	69	phylum	0.7	0.43	0.1	0.61	3.57	0.48	0.21	True
METAMDBG-MetaBAT2Refined-group-group_240416.1044	3050	2865	167	phylum	0.97	0.91	0.39	0.03	0.05	0.7	0.63	True
METAMDBG-MetaBAT2Refined-group-group_240416.1048	273	253	1	kingdom	1.0	0.93	0.0	0.04	0.07	0.54	0.5	True
METAMDBG-MetaBAT2Refined-group-group_240416.1064	2023	1864	54	class	0.95	0.88	0.05	0.02	0.05	0.66	0.58	True
METAMDBG-MetaBAT2Refined-group-group_240416.1080_sub	4244	3956	95	phylum	0.95	0.88	0.46	0.03	0.05	0.65	0.57	False
METAMDBG-MetaBAT2Refined-group-group_240416.1095_sub	2433	2186	117	genus	0.59	0.53	0.12	0.3	0.94	0.67	0.36	True
METAMDBG-MetaBAT2Refined-group-group_240416.109_sub	1618	1162	132	class	0.63	0.45	0.18	0.74	5.97	0.49	0.22	True
METAMDBG-MetaBAT2Refined-group-group_240416.1105	4708	3768	285	class	0.83	0.66	0.28	0.12	0.29	0.55	0.36	True
METAMDBG-MetaBAT2Refined-group-group_240416.112	5004	4683	9	class	0.85	0.8	0.03	0.06	0.12	0.62	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.1129_sub	1895	1813	82	phylum	0.97	0.93	0.46	0.03	0.06	0.7	0.65	False
METAMDBG-MetaBAT2Refined-group-group_240416.1135	1941	1820	8	family	0.67	0.63	0.07	0.11	0.24	0.71	0.45	True
METAMDBG-MetaBAT2Refined-group-group_240416.1169	3984	3783	3	order	0.73	0.69	0.01	0.25	0.72	0.64	0.44	True
METAMDBG-MetaBAT2Refined-group-group_240416.1176_sub	2116	1875	91	phylum	0.89	0.79	0.09	0.34	1.17	0.52	0.41	True
METAMDBG-MetaBAT2Refined-group-group_240416.1184	3926	3593	136	class	0.89	0.82	0.18	0.49	1.3	0.59	0.48	True
METAMDBG-MetaBAT2Refined-group-group_240416.1192	3883	3575	37	class	0.93	0.86	0.03	0.19	0.51	0.61	0.52	True
METAMDBG-MetaBAT2Refined-group-group_240416.1194_sub	2263	2091	68	genus	0.44	0.41	0.1	0.66	3.05	0.61	0.25	True
METAMDBG-MetaBAT2Refined-group-group_240416.122	4086	3727	115	phylum	0.93	0.85	0.47	0.03	0.06	0.66	0.56	False
METAMDBG-MetaBAT2Refined-group-group_240416.1220_sub	8487	7657	699	phylum	0.89	0.8	0.29	0.05	0.11	0.59	0.47	True
METAMDBG-MetaBAT2Refined-group-group_240416.1221_sub	3555	3252	114	order	0.73	0.66	0.23	0.09	0.21	0.65	0.43	True
METAMDBG-MetaBAT2Refined-group-group_240416.126	2384	2216	111	phylum	0.92	0.86	0.11	0.04	0.08	0.57	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.127	7628	7006	18	phylum	0.85	0.78	0.01	0.07	0.15	0.61	0.48	True
METAMDBG-MetaBAT2Refined-group-group_240416.13_sub	1920	1690	121	phylum	0.94	0.83	0.18	0.02	0.05	0.59	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.14_sub	3684	3360	146	family	0.65	0.59	0.26	0.46	1.56	0.65	0.39	True
