catalogue	source_table_ID	authoritative_ID	original_bin_ID	16S_count	23S_count	5S_count	tRNA_features	tRNA_standard_AA	strict_MIMAG_HQ	evidence_source	evidence_grade	provenance_note
MAG29	SS-01	SS-29	FLYE-CONCOCTRefined-group-group_240416.290	1	0	0	37	17	no	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-02	SS-13	FLYE-MetaBAT2Refined-group-group_220428.91	1	1	1	48	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-03	SS-17	FLYE-MetaBAT2Refined-group-group_240416.203	0	0	1	46	19	no	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-04	SS-27	FLYE-MetaBAT2Refined-group-group_240416.419	1	2	2	38	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-05	SS-08	FLYE-MetaBAT2Refined-group-group_240416.579	1	1	1	44	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-06	SS-06	FLYE-MetaBAT2Refined-group-group_240416.722	1	1	1	56	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-07	SS-28	FLYE-MetaBAT2Refined-group-group_240416.82	1	1	1	49	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-08	SS-26	FLYE-MetaBAT2Refined-group-group_240416.820	1	1	1	43	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-09	SS-10	METAMDBG-CONCOCTRefined-group-group_240416.97	1	1	1	52	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-10	SS-25	METAMDBG-MaxBin2Refined-group-group_220428.005	1	1	1	50	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-11	SS-04	METAMDBG-MaxBin2Refined-group-group_240416.001	1	1	1	46	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-12	SS-09	METAMDBG-MaxBin2Refined-group-group_240416.002	4	3	3	45	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-13	SS-16	METAMDBG-MaxBin2Refined-group-group_240416.006	1	1	1	46	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-14	SS-05	METAMDBG-MaxBin2Refined-group-group_240416.014	1	1	1	47	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-15	SS-14	METAMDBG-MetaBAT2Refined-group-group_231025.73	1	1	1	41	18	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
