source_sample	source_run	bin_id	completeness_checkm2	contamination_checkm2	GUNC_result	GUNC_acted_as_filter	selection_driver
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.0.fa	90.47	4.94	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG220428	run_20260418_161743	FLYE-MaxBin2Refined-group-group_220428.004.fa	98.81	1.16	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.91.fa	92.36	0.42	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.005.fa	97.6	0.14	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG220428	run_20260418_161743	METAMDBG-SemiBin2Refined-group-group_220428.7.fa	95.87	4.52	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240304	run_20260417_045201	FLYE-SemiBin2Refined-group-group_240304.1.fa	93.62	4.67	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240304	run_20260417_045201	METAMDBG-MetaBAT2Refined-group-group_240304.148.fa	95.51	1.93	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240304	run_20260417_045201	METAMDBG-MetaBAT2Refined-group-group_240304.160.fa	97.1	3.58	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240304	run_20260417_045201	METAMDBG-MetaBAT2Refined-group-group_240304.5.fa	94.1	4.46	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG231025	run_20260416_063757	METAMDBG-MetaBAT2Refined-group-group_231025.73.fa	94.16	0.21	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG231025	run_20260416_063757	METAMDBG-SemiBin2Refined-group-group_231025.0.fa	91.94	0.11	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240905	run_20260416_091821	METAMDBG-MaxBin2Refined-group-group_240905.003.fa	92.46	4.64	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240905	run_20260416_091821	METAMDBG-SemiBin2Refined-group-group_240905.0.fa	90.45	0.09	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG221021	run_20260418_024525	FLYE-MetaBAT2Refined-group-group_221021.108.fa	97.3	4.24	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG221021	run_20260418_024525	FLYE-MetaBinnerRefined-group-group_221021.3.fa	92.64	3.84	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG221021	run_20260418_024525	METAMDBG-MetaBinnerRefined-group-group_221021.1.fa	95.28	1.58	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG221021	run_20260418_024525	METAMDBG-MetaBinnerRefined-group-group_221021.2.fa	92.23	4.19	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG221021	run_20260418_024525	METAMDBG-SemiBin2Refined-group-group_221021.1.fa	96.61	4.28	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	FLYE-CONCOCTRefined-group-group_240416.29.fa	95.56	1.24	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-CONCOCTRefined-group-group_240416.290.fa	96.92	0.92	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MaxBin2Refined-group-group_240416.034.fa	93.06	4.47	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.100.fa	95.54	1.13	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.203.fa	92.0	2.77	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.419.fa	92.97	0.48	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.579.fa	99.59	1.49	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.71.fa	95.62	1.96	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.722.fa	98.48	0.59	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.82.fa	94.95	0.75	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.820.fa	97.17	2.76	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.833.fa	93.25	3.85	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
MG240416	run_20260601_144953	METAMDBG-CONCOCTRefined-group-group_240416.113.fa	91.31	4.85	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-CONCOCTRefined-group-group_240416.97.fa	96.55	3.21	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.001.fa	94.01	0.05	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.002.fa	97.79	1.39	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.006.fa	99.55	0.28	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.014.fa	95.57	0.83	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.022.fa	95.37	0.25	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.030.fa	91.06	1.3	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.112.fa	93.9	4.84	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.1169.fa	99.97	0.88	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.162.fa	93.05	0.74	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.197.fa	96.34	1.83	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.257.fa	100.0	0.1	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.291.fa	95.11	1.05	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.313.fa	100.0	0.01	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.33.fa	91.03	3.94	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.486.fa	97.25	3.59	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.674.fa	90.43	1.33	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.708_sub.fa	93.19	3.69	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.795.fa	98.25	0.11	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.896_sub.fa	90.23	0.21	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.900.fa	96.98	3.52	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.1.fa	99.61	1.78	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.2.fa	97.01	2.76	PASS	No	CheckM2 (>=90% comp, <=5% cont)
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.5.fa	99.2	1.51	PASS	No	CheckM2 (>=90% comp, <=5% cont)	 [GUNC source record dated 2026-07-14; pass.GUNC=True]
