winner_order	genome_file	secondary_cluster	dRep_score	dereplicated_genome_path
1	FLYE-MetaBAT2Refined-group-group_240416.203.fa	1_0	82.61508765511434	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-MetaBAT2Refined-group-group_240416.203.fa
2	METAMDBG-MetaBAT2Refined-group-group_231025.73.fa	2_0	95.81038965226041	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_231025.73.fa
3	FLYE-MetaBAT2Refined-group-group_240416.722.fa	3_1	86.62301674759466	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-MetaBAT2Refined-group-group_240416.722.fa
4	METAMDBG-MaxBin2Refined-group-group_240416.014.fa	4_0	86.12681326539817	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MaxBin2Refined-group-group_240416.014.fa
5	METAMDBG-MetaBAT2Refined-group-group_240416.1169.fa	5_0	79.62527427110756	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240416.1169.fa
6	METAMDBG-MaxBin2Refined-group-group_240416.001.fa	6_0	96.90059920663064	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MaxBin2Refined-group-group_240416.001.fa
7	METAMDBG-MetaBAT2Refined-group-group_240304.148.fa	7_0	82.95161397483467	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240304.148.fa
8	METAMDBG-MetaBAT2Refined-group-group_240416.313.fa	8_0	81.87721288542376	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240416.313.fa
9	FLYE-MetaBAT2Refined-group-group_240416.820.fa	9_1	89.69118315690503	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-MetaBAT2Refined-group-group_240416.820.fa
10	METAMDBG-MetaBAT2Refined-group-group_240304.5.fa	10_0	74.72351205022429	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240304.5.fa
11	METAMDBG-MaxBin2Refined-group-group_220428.005.fa	11_0	83.37506309543683	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MaxBin2Refined-group-group_220428.005.fa
12	METAMDBG-MetaBAT2Refined-group-group_240416.795.fa	12_0	88.60694070619662	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240416.795.fa
13	METAMDBG-MaxBin2Refined-group-group_240416.002.fa	13_0	96.2336508884226	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MaxBin2Refined-group-group_240416.002.fa
14	FLYE-MetaBAT2Refined-group-group_240416.82.fa	14_1	89.35176967776172	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-MetaBAT2Refined-group-group_240416.82.fa
15	FLYE-CONCOCTRefined-group-group_240416.290.fa	15_0	75.54827757913239	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-CONCOCTRefined-group-group_240416.290.fa
16	METAMDBG-MetaBAT2Refined-group-group_240304.160.fa	16_1	84.31424872426682	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240304.160.fa
17	FLYE-MetaBAT2Refined-group-group_220428.91.fa	17_0	85.61924461618851	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-MetaBAT2Refined-group-group_220428.91.fa
18	METAMDBG-MetaBAT2Refined-group-group_240416.112.fa	18_0	89.112233614382	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240416.112.fa
19	FLYE-MetaBAT2Refined-group-group_240416.419.fa	19_1	86.0186717790927	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-MetaBAT2Refined-group-group_240416.419.fa
20	FLYE-MetaBAT2Refined-group-group_240416.579.fa	20_1	95.2131096961006	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/FLYE-MetaBAT2Refined-group-group_240416.579.fa
21	METAMDBG-MetaBAT2Refined-group-group_240416.291.fa	21_0	88.88643416711055	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240416.291.fa
22	METAMDBG-MetaBinnerRefined-group-group_240416.2.fa	22_0	84.86926672888045	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBinnerRefined-group-group_240416.2.fa
23	METAMDBG-MetaBinnerRefined-group-group_240416.1.fa	23_1	91.37934534712282	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBinnerRefined-group-group_240416.1.fa
24	METAMDBG-MaxBin2Refined-group-group_240416.006.fa	24_1	96.44196064250394	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MaxBin2Refined-group-group_240416.006.fa
25	METAMDBG-MetaBAT2Refined-group-group_240416.708_sub.fa	24_2	92.84488199983016	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240416.708_sub.fa
26	METAMDBG-CONCOCTRefined-group-group_240416.97.fa	25_1	83.19970457013396	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-CONCOCTRefined-group-group_240416.97.fa
27	METAMDBG-MetaBAT2Refined-group-group_240416.257.fa	26_0	98.3906337272286	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBAT2Refined-group-group_240416.257.fa
28	METAMDBG-MetaBinnerRefined-group-group_240416.5.fa	27_0	75.7297163269847	${PROJECT_HOME}/final_results/33_HQ56_SINGLE_SAMPLE_DREP_GTDBTK_BRANCH/runs/hq56_single_sample_drep_gtdbtk_18330/drep_out/dereplicated_genomes/METAMDBG-MetaBinnerRefined-group-group_240416.5.fa
