MAG_ID	Original_bin_ID	Source_sample	Phylum	Class	Order	Family	Genus	Completeness	Contamination	Genome_size_Mb	N_contigs	CDS	Total_proteins_annotated	Proteins_with_COG	Proteins_with_KEGG	CAZymes	VFDB_hits	BGCs_GECCO	antiSMASH_regions	Pct_hypothetical
SS-01	METAMDBG-SemiBin2Refined-group-group_240905.0	MG240905	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Site-B15	90.45	0.09	2.76	19	2537	2428	1670	1218	32	223	2	4	25.0
SS-02	METAMDBG-MetaBinnerRefined-group-group_240416.5	MG240416	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JAJDFU01	99.2	1.51	5.45	52	4459	4064	2824	1899	54	433	3	6	48.3
SS-03	METAMDBG-MetaBinnerRefined-group-group_240416.1	MG240416	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JARQTN01	99.61	1.78	5.63	61	4595	3988	2881	1788	83	384	6	6	61.1
SS-04	METAMDBG-MaxBin2Refined-group-group_240416.001	MG240416	Actinomycetota	Actinomycetes	Jiangellales	Jiangellaceae	Jiangellaceae (fam.)	94.01	0.05	2.74	11	2676	2498	1826	1461	37	331	2	5	45.4
SS-05	METAMDBG-MaxBin2Refined-group-group_240416.014	MG240416	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Sva-07	95.57	0.83	3.43	31	3224	2894	2264	1681	37	433	4	7	39.3
SS-06	FLYE-MetaBAT2Refined-group-group_240416.722	MG240416	Actinomycetota	Acidimicrobiia	UBA5794	ZC4RG35	JAHEDH01	98.48	0.59	4.08	12	4167	3523	2683	1971	30	541	3	3	66.2
SS-07	METAMDBG-MetaBAT2Refined-group-group_240416.257	MG240416	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya	100.0	0.1	5.93	2	5585	5141	3268	2178	57	503	15	18	46.5
SS-08	FLYE-MetaBAT2Refined-group-group_240416.579	MG240416	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	MRBY01	Limnothrix	99.59	1.49	3.43	32	3494	3291	2257	1766	43	340	1	6	42.3
SS-09	METAMDBG-MaxBin2Refined-group-group_240416.002	MG240416	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	JABDQA01	97.79	1.39	4.61	19	4214	3786	2881	2214	31	462	1	10	42.8
SS-10	METAMDBG-CONCOCTRefined-group-group_240416.97	MG240416	Desulfobacterota	Syntrophobacteria	BM002	BM002	BM002	96.55	3.21	4.88	13	4459	3705	2834	2069	37	518	0	8	55.2
SS-11	METAMDBG-MetaBAT2Refined-group-group_240304.160	MG240304	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA5852	JABZFP01	97.1	3.58	5.06	45	4721	4167	3143	2354	41	570	3	13	53.0
SS-12	METAMDBG-MetaBAT2Refined-group-group_240416.112	MG240416	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	93.9	4.84	5.64	9	5007	4558	3413	2463	40	653	3	12	42.2
