check	value	evidence
source_hash_genbank	ae34641a3dd2a757217cf10f08b7bdd865f51bc810771d9f4a990f3040df135c	proksee_input/SS-07/genbank/SS-07.gbff
source_hash_gff3	15d30914a310beaf998896ad67a0d03b8df6ca2bf6b50f86d82ac1d36da49bb0	source/SS-07_Bakta.gff3
source_hash_bakta_json	bfa6f4a8b03505855e2fb9539184db935e4e76abf52834e7b4503b8b6c7af054	source/SS-07_Bakta.json
genbank_records	2	proksee_input/SS-07/genbank/SS-07.gbff
sequence_length_bp	5930534	proksee_input/SS-07/genbank/SS-07.gbff
coordinate_confirmed_marker_features	11	source/SS-07_curated_marker_evidence.tsv
cgview_contigs	2	proksee_output/data/genome_maps/SS-07.cgview.json
curated_markers	11	proksee_output/data/genome_maps/SS-07.cgview.json
mimag_trna_features	45	source/SS-07_MIMAG_RNA_evidence.tsv
mimag_rrna_features	9	source/SS-07_MIMAG_RNA_evidence.tsv
mimag_standard_amino_acid_types	20	source/SS-07_MIMAG_RNA_evidence.tsv
