authoritative_ID	branch	original_bin_ID	Phylum	Genus	AMP_ampir_p0.5	ARG_hamronization	BGC_GECCO	BGC_antiSMASH	BGC_total
SS-01	MAG29	METAMDBG-SemiBin2Refined-group-group_240905.0	Bacteroidota	Site-B15	32	1	2	4	6
SS-02	MAG29	METAMDBG-MetaBinnerRefined-group-group_240416.5	Bacteroidota	JAJDFU01	26	3	3	6	9
SS-03	MAG29	METAMDBG-MetaBinnerRefined-group-group_240416.1	Bacteroidota	JARQTN01	55	2	6	6	12
SS-04	MAG29	METAMDBG-MaxBin2Refined-group-group_240416.001	Actinomycetota	Jiangellaceae (fam.)	4	1	2	5	7
SS-05	MAG29	METAMDBG-MaxBin2Refined-group-group_240416.014	Actinomycetota	Sva-07	7	2	4	7	11
SS-06	MAG29	FLYE-MetaBAT2Refined-group-group_240416.722	Actinomycetota	JAHEDH01	25	5	3	3	6
SS-07	MAG29	METAMDBG-MetaBAT2Refined-group-group_240416.257	Cyanobacteriota	Waterburya	78	4	15	18	33
SS-08	MAG29	FLYE-MetaBAT2Refined-group-group_240416.579	Cyanobacteriota	Limnothrix	42	4	1	6	7
SS-09	MAG29	METAMDBG-MaxBin2Refined-group-group_240416.002	Desulfobacterota	JABDQA01	48	3	1	10	11
SS-10	MAG29	METAMDBG-CONCOCTRefined-group-group_240416.97	Desulfobacterota	BM002	77	2	0	8	8
SS-11	MAG29	METAMDBG-MetaBAT2Refined-group-group_240304.160	Desulfobacterota	JABZFP01	48	2	3	13	16
SS-12	MAG29	METAMDBG-MetaBAT2Refined-group-group_240416.112	Desulfobacterota	Desulfosarcina	61	2	3	12	15
SS-13	MAG29	FLYE-MetaBAT2Refined-group-group_220428.91	Desulfobacterota	JARRKU01	62	1	0	7	7
SS-14	MAG29	METAMDBG-MetaBAT2Refined-group-group_231025.73	Pseudomonadota	JAHTBL01	20	0	2	6	8
SS-15	MAG29	METAMDBG-MetaBAT2Refined-group-group_240416.708_sub	Pseudomonadota	Methyloceanibacter	34	4	3	11	14
SS-16	MAG29	METAMDBG-MaxBin2Refined-group-group_240416.006	Pseudomonadota	Methyloceanibacter	28	3	1	7	8
SS-17	MAG29	FLYE-MetaBAT2Refined-group-group_240416.203	Pseudomonadota	CAJQQK01	48	1	2	11	13
SS-18	MAG29	METAMDBG-MetaBAT2Refined-group-group_240416.313	Pseudomonadota	BMS3Bbin11	28	2	1	6	7
SS-19	MAG29	METAMDBG-MetaBAT2Refined-group-group_240304.5	Pseudomonadota	JACNJF01	35	2	0	5	5
SS-20	MAG29	METAMDBG-MetaBAT2Refined-group-group_240416.291	Pseudomonadota	JABDQW01	32	0	0	3	3
SS-21	MAG29	METAMDBG-MetaBAT2Refined-group-group_240304.148	Pseudomonadota	GCA-2746365	24	2	0	4	4
SS-22	MAG29	METAMDBG-MetaBinnerRefined-group-group_240416.2	Pseudomonadota	JAACFE01	23	2	1	5	6
SS-23	MAG29	METAMDBG-MetaBAT2Refined-group-group_240416.1169	Pseudomonadota	JBFGFX01	22	1	3	7	10
SS-24	MAG29	METAMDBG-MetaBAT2Refined-group-group_240416.795	Pseudomonadota	JAACFB01	17	2	5	8	13
SS-25	MAG29	METAMDBG-MaxBin2Refined-group-group_220428.005	Pseudomonadota	JAACFB01	16	1	5	8	13
SS-26	MAG29	FLYE-MetaBAT2Refined-group-group_240416.820	Pseudomonadota	Sva-25	31	2	0	2	2
SS-27	MAG29	FLYE-MetaBAT2Refined-group-group_240416.419	Pseudomonadota	UBA9145	51	2	2	3	5
SS-28	MAG29	FLYE-MetaBAT2Refined-group-group_240416.82	Pseudomonadota	SZUA-36 (fam.)	22	2	4	4	8
SS-29	MAG29	FLYE-CONCOCTRefined-group-group_240416.290	Pseudomonadota	Marinihelvus	29	2	4	7	11
CoA-1	CoA4	FLYE-MetaBAT2Refined-group-group_2025_4samples.8	Pseudomonadota	JARFQC01	46	0	0	4	4
CoA-2	CoA4	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106	Pseudomonadota	novel genus	58	3	2	10	12
CoA-3	CoA4	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1	Cyanobacteriota	Waterburya-related	78	3	2	7	9
CoA-4	CoA4	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0	Cyanobacteriota	Waterburya-related	101	2	14	15	29
