SS_ID	Phylum	COG	KEGG	CAZymes	VFDB	AMP	ARG	GECCO	antiSMASH
SS-01	Bacteroidota	2171	1218	32	223	32	1	2	4
SS-02	Bacteroidota	3795	1899	54	433	26	3	3	6
SS-03	Bacteroidota	3688	1788	83	384	55	2	6	6
SS-04	Actinomycetota	2354	1461	37	331	4	1	2	5
SS-05	Actinomycetota	2740	1681	37	433	7	2	4	7
SS-06	Actinomycetota	3336	1971	30	541	25	5	3	3
SS-07	Cyanobacteriota	4556	2178	57	503	78	4	15	18
SS-08	Cyanobacteriota	3001	1766	43	340	42	4	1	6
SS-09	Desulfobacterota	3589	2214	31	462	48	3	1	10
SS-10	Desulfobacterota	3486	2069	37	518	77	2	0	8
SS-11	Desulfobacterota	3903	2354	41	570	48	2	3	13
SS-12	Desulfobacterota	4261	2463	40	653	61	2	3	12
SS-13	Desulfobacterota	3410	2054	33	472	62	1	0	7
SS-14	Pseudomonadota	2918	1934	27	427	20	0	2	6
SS-15	Pseudomonadota	2538	1665	26	328	34	4	3	11
SS-16	Pseudomonadota	2357	1563	25	310	28	3	1	7
SS-17	Pseudomonadota	4257	2540	25	589	48	1	2	11
SS-18	Pseudomonadota	2629	1748	34	427	28	2	1	6
SS-19	Pseudomonadota	2763	1814	21	459	35	2	0	5
SS-20	Pseudomonadota	2715	1717	30	388	32	0	0	3
SS-21	Pseudomonadota	2514	1639	35	360	24	2	0	4
SS-22	Pseudomonadota	3242	2031	28	445	23	2	1	5
SS-23	Pseudomonadota	3512	2127	28	511	22	1	3	7
SS-24	Pseudomonadota	2971	1864	29	422	17	2	5	8
SS-25	Pseudomonadota	2962	1851	32	449	16	1	5	8
SS-26	Pseudomonadota	2645	1786	21	375	31	2	0	2
SS-27	Pseudomonadota	3095	1914	33	412	51	2	2	3
SS-28	Pseudomonadota	3179	1921	38	473	22	2	4	4
SS-29	Pseudomonadota	3077	1928	34	436	29	2	4	7
