field	value	evidence
tool	fastANI	retained run records ${PROJECT_HOME}/.conda/envs/drep-magdb/bin/fastANI
version	1.34	"fastANI --version -> ""version 1.34"""
command	fastANI --ql query_list.txt --rl ref_list.txt -o waterburya_fastani_results.tsv	derived from the retained query_list.txt, ref_list.txt and output (2026-06-21)
default_fragment_length	fastANI default (fragment counts imply ~1 kb fragments); aligned fraction reported as count_bidirectional_fragment_mappings / total_query_fragments	waterburya_fastani_results.tsv columns 4 and 5
queries	2 CoA representatives	query_list.txt
query_CoA3	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1.fa	from 34_HQ4_COASSEMBLY_DREP_GTDBTK_BRANCH/.../dereplicated_genomes/
query_CoA4	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0.fa	from 34_HQ4_COASSEMBLY_DREP_GTDBTK_BRANCH/.../dereplicated_genomes/
references_compared	5 Waterburya/Xenococcaceae genomes: GCA_965214815.1, GCA_965217895.1, GCA_965218345.1, GCA_965218645.1, GCF_020640915.1	ref_list.txt + references/*.fna
best_hit_criterion	highest ANI per query	-
CoA3_best_hit	GCF_020640915.1 (Waterburya agarophytonicola)	waterburya_fastani_results.tsv
CoA3_best_ANI	75.9176 % (reported as 75.92)	row 1
CoA3_aligned_fraction	2662 / 6201 fragment mappings = 42.9 %	row 1 cols 4,5
CoA4_best_hit	GCA_965218645.1 (Waterburya sp.)	waterburya_fastani_results.tsv
CoA4_best_ANI	76.9469 % (reported as 76.95)	row 6
CoA4_aligned_fraction	2936 / 7095 fragment mappings = 41.4 %	row 6 cols 4,5
comparison_summary	ANI values 75.92% and 76.95%; both below the recorded 95% threshold; five-reference comparison	-
files	waterburya_fastani_results.tsv (10 rows = 2 queries x 5 refs) ; query_list.txt ; ref_list.txt	this folder
