source_sample	source_run	genome_file	CheckM2_completeness	CheckM2_contamination	nonwinner_disposition	dRep_secondary_cluster
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.0.fa	90.47	4.94	failed_dRep_internal_CheckM_filter	
MG220428	run_20260418_161743	FLYE-MaxBin2Refined-group-group_220428.004.fa	98.81	1.16	failed_dRep_internal_CheckM_filter	
MG220428	run_20260418_161743	METAMDBG-SemiBin2Refined-group-group_220428.7.fa	95.87	4.52	failed_dRep_internal_CheckM_filter	
MG240304	run_20260417_045201	FLYE-SemiBin2Refined-group-group_240304.1.fa	93.62	4.67	redundant_in_secondary_cluster	16_1
MG231025	run_20260416_063757	METAMDBG-SemiBin2Refined-group-group_231025.0.fa	91.94	0.11	failed_dRep_internal_CheckM_filter	
MG240905	run_20260416_091821	METAMDBG-MaxBin2Refined-group-group_240905.003.fa	92.46	4.64	redundant_in_secondary_cluster	9_1
MG221021	run_20260418_024525	FLYE-MetaBAT2Refined-group-group_221021.108.fa	97.3	4.24	redundant_in_secondary_cluster	25_1
MG221021	run_20260418_024525	FLYE-MetaBinnerRefined-group-group_221021.3.fa	92.64	3.84	redundant_in_secondary_cluster	23_1
MG221021	run_20260418_024525	METAMDBG-MetaBinnerRefined-group-group_221021.1.fa	95.28	1.58	redundant_in_secondary_cluster	14_1
MG221021	run_20260418_024525	METAMDBG-MetaBinnerRefined-group-group_221021.2.fa	92.23	4.19	failed_dRep_internal_CheckM_filter	
MG221021	run_20260418_024525	METAMDBG-SemiBin2Refined-group-group_221021.1.fa	96.61	4.28	redundant_in_secondary_cluster	20_1
MG240416	run_20260601_144953	FLYE-CONCOCTRefined-group-group_240416.29.fa	95.56	1.24	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	FLYE-MaxBin2Refined-group-group_240416.034.fa	93.06	4.47	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.100.fa	95.54	1.13	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.71.fa	95.62	1.96	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.833.fa	93.25	3.85	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-CONCOCTRefined-group-group_240416.113.fa	91.31	4.85	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.022.fa	95.37	0.25	redundant_in_secondary_cluster	3_1
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.030.fa	91.06	1.3	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.162.fa	93.05	0.74	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.197.fa	96.34	1.83	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.33.fa	91.03	3.94	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.486.fa	97.25	3.59	redundant_in_secondary_cluster	20_1
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.674.fa	90.43	1.33	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.896_sub.fa	90.23	0.21	failed_dRep_internal_CheckM_filter	
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.900.fa	96.98	3.52	redundant_in_secondary_cluster	19_1
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.6.fa	95.41	3.41	failed_dRep_internal_CheckM_filter	

