genome_file	secondary_cluster	primary_cluster	secondary_distance_threshold	cluster_method	comparison_algorithm	is_winner	winner_score
FLYE-MetaBAT2Refined-group-group_240416.203.fa	1_0	1	0.050000000000000044	average	fastANI	YES	82.61508765511434
METAMDBG-MetaBAT2Refined-group-group_231025.73.fa	2_0	2	0.050000000000000044	average	fastANI	YES	95.81038965226041
FLYE-MetaBAT2Refined-group-group_240416.722.fa	3_1	3	0.050000000000000044	average	fastANI	YES	86.62301674759466
METAMDBG-MaxBin2Refined-group-group_240416.022.fa	3_1	3	0.050000000000000044	average	fastANI	NO	
METAMDBG-MaxBin2Refined-group-group_240416.014.fa	4_0	4	0.050000000000000044	average	fastANI	YES	86.12681326539817
METAMDBG-MetaBAT2Refined-group-group_240416.1169.fa	5_0	5	0.050000000000000044	average	fastANI	YES	79.62527427110756
METAMDBG-MaxBin2Refined-group-group_240416.001.fa	6_0	6	0.050000000000000044	average	fastANI	YES	96.90059920663064
METAMDBG-MetaBAT2Refined-group-group_240304.148.fa	7_0	7	0.050000000000000044	average	fastANI	YES	82.95161397483467
METAMDBG-MetaBAT2Refined-group-group_240416.313.fa	8_0	8	0.050000000000000044	average	fastANI	YES	81.87721288542376
FLYE-MetaBAT2Refined-group-group_240416.820.fa	9_1	9	0.050000000000000044	average	fastANI	YES	89.69118315690503
METAMDBG-MaxBin2Refined-group-group_240905.003.fa	9_1	9	0.050000000000000044	average	fastANI	NO	
METAMDBG-MetaBAT2Refined-group-group_240304.5.fa	10_0	10	0.050000000000000044	average	fastANI	YES	74.72351205022429
METAMDBG-MaxBin2Refined-group-group_220428.005.fa	11_0	11	0.050000000000000044	average	fastANI	YES	83.37506309543683
METAMDBG-MetaBAT2Refined-group-group_240416.795.fa	12_0	12	0.050000000000000044	average	fastANI	YES	88.60694070619662
METAMDBG-MaxBin2Refined-group-group_240416.002.fa	13_0	13	0.050000000000000044	average	fastANI	YES	96.2336508884226
FLYE-MetaBAT2Refined-group-group_240416.82.fa	14_1	14	0.050000000000000044	average	fastANI	YES	89.35176967776172
METAMDBG-MetaBinnerRefined-group-group_221021.1.fa	14_1	14	0.050000000000000044	average	fastANI	NO	
FLYE-CONCOCTRefined-group-group_240416.290.fa	15_0	15	0.050000000000000044	average	fastANI	YES	75.54827757913239
FLYE-SemiBin2Refined-group-group_240304.1.fa	16_1	16	0.050000000000000044	average	fastANI	NO	
METAMDBG-MetaBAT2Refined-group-group_240304.160.fa	16_1	16	0.050000000000000044	average	fastANI	YES	84.31424872426682
FLYE-MetaBAT2Refined-group-group_220428.91.fa	17_0	17	0.050000000000000044	average	fastANI	YES	85.61924461618851
METAMDBG-MetaBAT2Refined-group-group_240416.112.fa	18_0	18	0.050000000000000044	average	fastANI	YES	89.112233614382
FLYE-MetaBAT2Refined-group-group_240416.419.fa	19_1	19	0.050000000000000044	average	fastANI	YES	86.0186717790927
METAMDBG-MetaBAT2Refined-group-group_240416.900.fa	19_1	19	0.050000000000000044	average	fastANI	NO	
FLYE-MetaBAT2Refined-group-group_240416.579.fa	20_1	20	0.050000000000000044	average	fastANI	YES	95.2131096961006
METAMDBG-MetaBAT2Refined-group-group_240416.486.fa	20_1	20	0.050000000000000044	average	fastANI	NO	
METAMDBG-SemiBin2Refined-group-group_221021.1.fa	20_1	20	0.050000000000000044	average	fastANI	NO	
METAMDBG-MetaBAT2Refined-group-group_240416.291.fa	21_0	21	0.050000000000000044	average	fastANI	YES	88.88643416711055
METAMDBG-MetaBinnerRefined-group-group_240416.2.fa	22_0	22	0.050000000000000044	average	fastANI	YES	84.86926672888045
FLYE-MetaBinnerRefined-group-group_221021.3.fa	23_1	23	0.050000000000000044	average	fastANI	NO	
METAMDBG-MetaBinnerRefined-group-group_240416.1.fa	23_1	23	0.050000000000000044	average	fastANI	YES	91.37934534712282
METAMDBG-MaxBin2Refined-group-group_240416.006.fa	24_1	24	0.050000000000000044	average	fastANI	YES	96.44196064250394
METAMDBG-MetaBAT2Refined-group-group_240416.708_sub.fa	24_2	24	0.050000000000000044	average	fastANI	YES	92.84488199983016
FLYE-MetaBAT2Refined-group-group_221021.108.fa	25_1	25	0.050000000000000044	average	fastANI	NO	
METAMDBG-CONCOCTRefined-group-group_240416.97.fa	25_1	25	0.050000000000000044	average	fastANI	YES	83.19970457013396
METAMDBG-MetaBAT2Refined-group-group_240416.257.fa	26_0	26	0.050000000000000044	average	fastANI	YES	98.3906337272286
METAMDBG-MetaBinnerRefined-group-group_240416.5.fa	27_0	27	0.050000000000000044	average	fastANI	YES	75.7297163269847
METAMDBG-SemiBin2Refined-group-group_240905.0.fa	28_0	28	0.050000000000000044	average	fastANI	YES	92.21588570179368

