source_sample	source_run	bin_id	CheckM2_completeness	CheckM2_contamination	selected_by_initial_CheckM2	dRep_internal_CheckM_filter	dRep_winner	dRep_cluster	dRep_score
MG240104	run_20260416_122844	METAMDBG-SemiBin2Refined-group-group_240104.0.fa	90.47	4.94	YES	FAIL	NO		
MG220428	run_20260418_161743	FLYE-MaxBin2Refined-group-group_220428.004.fa	98.81	1.16	YES	FAIL	NO		
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.91.fa	92.36	0.42	YES	PASS	YES	17_0	85.61924461618851
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.005.fa	97.6	0.14	YES	PASS	YES	11_0	83.37506309543683
MG220428	run_20260418_161743	METAMDBG-SemiBin2Refined-group-group_220428.7.fa	95.87	4.52	YES	FAIL	NO		
MG240304	run_20260417_045201	FLYE-SemiBin2Refined-group-group_240304.1.fa	93.62	4.67	YES	PASS	NO		
MG240304	run_20260417_045201	METAMDBG-MetaBAT2Refined-group-group_240304.148.fa	95.51	1.93	YES	PASS	YES	7_0	82.95161397483467
MG240304	run_20260417_045201	METAMDBG-MetaBAT2Refined-group-group_240304.160.fa	97.1	3.58	YES	PASS	YES	16_1	84.31424872426682
MG240304	run_20260417_045201	METAMDBG-MetaBAT2Refined-group-group_240304.5.fa	94.1	4.46	YES	PASS	YES	10_0	74.72351205022429
MG231025	run_20260416_063757	METAMDBG-MetaBAT2Refined-group-group_231025.73.fa	94.16	0.21	YES	PASS	YES	2_0	95.81038965226041
MG231025	run_20260416_063757	METAMDBG-SemiBin2Refined-group-group_231025.0.fa	91.94	0.11	YES	FAIL	NO		
MG240905	run_20260416_091821	METAMDBG-MaxBin2Refined-group-group_240905.003.fa	92.46	4.64	YES	PASS	NO		
MG240905	run_20260416_091821	METAMDBG-SemiBin2Refined-group-group_240905.0.fa	90.45	0.09	YES	PASS	YES	28_0	92.21588570179368
MG221021	run_20260418_024525	FLYE-MetaBAT2Refined-group-group_221021.108.fa	97.3	4.24	YES	PASS	NO		
MG221021	run_20260418_024525	FLYE-MetaBinnerRefined-group-group_221021.3.fa	92.64	3.84	YES	PASS	NO		
MG221021	run_20260418_024525	METAMDBG-MetaBinnerRefined-group-group_221021.1.fa	95.28	1.58	YES	PASS	NO		
MG221021	run_20260418_024525	METAMDBG-MetaBinnerRefined-group-group_221021.2.fa	92.23	4.19	YES	FAIL	NO		
MG221021	run_20260418_024525	METAMDBG-SemiBin2Refined-group-group_221021.1.fa	96.61	4.28	YES	PASS	NO		
MG240416	run_20260601_144953	FLYE-CONCOCTRefined-group-group_240416.29.fa	95.56	1.24	YES	FAIL	NO		
MG240416	run_20260601_144953	FLYE-CONCOCTRefined-group-group_240416.290.fa	96.92	0.92	YES	PASS	YES	15_0	75.54827757913239
MG240416	run_20260601_144953	FLYE-MaxBin2Refined-group-group_240416.034.fa	93.06	4.47	YES	FAIL	NO		
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.100.fa	95.54	1.13	YES	FAIL	NO		
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.203.fa	92.0	2.77	YES	PASS	YES	1_0	82.61508765511434
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.419.fa	92.97	0.48	YES	PASS	YES	19_1	86.0186717790927
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.579.fa	99.59	1.49	YES	PASS	YES	20_1	95.2131096961006
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.71.fa	95.62	1.96	YES	FAIL	NO		
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.722.fa	98.48	0.59	YES	PASS	YES	3_1	86.62301674759466
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.82.fa	94.95	0.75	YES	PASS	YES	14_1	89.35176967776172
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.820.fa	97.17	2.76	YES	PASS	YES	9_1	89.69118315690503
MG240416	run_20260601_144953	FLYE-MetaBAT2Refined-group-group_240416.833.fa	93.25	3.85	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-CONCOCTRefined-group-group_240416.113.fa	91.31	4.85	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-CONCOCTRefined-group-group_240416.97.fa	96.55	3.21	YES	PASS	YES	25_1	83.19970457013396
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.001.fa	94.01	0.05	YES	PASS	YES	6_0	96.90059920663064
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.002.fa	97.79	1.39	YES	PASS	YES	13_0	96.2336508884226
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.006.fa	99.55	0.28	YES	PASS	YES	24_1	96.44196064250394
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.014.fa	95.57	0.83	YES	PASS	YES	4_0	86.12681326539817
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.022.fa	95.37	0.25	YES	PASS	NO		
MG240416	run_20260601_144953	METAMDBG-MaxBin2Refined-group-group_240416.030.fa	91.06	1.3	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.112.fa	93.9	4.84	YES	PASS	YES	18_0	89.112233614382
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.1169.fa	99.97	0.88	YES	PASS	YES	5_0	79.62527427110756
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.162.fa	93.05	0.74	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.197.fa	96.34	1.83	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.257.fa	100.0	0.1	YES	PASS	YES	26_0	98.3906337272286
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.291.fa	95.11	1.05	YES	PASS	YES	21_0	88.88643416711055
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.313.fa	100.0	0.01	YES	PASS	YES	8_0	81.87721288542376
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.33.fa	91.03	3.94	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.486.fa	97.25	3.59	YES	PASS	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.674.fa	90.43	1.33	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.708_sub.fa	93.19	3.69	YES	PASS	YES	24_2	92.84488199983016
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.795.fa	98.25	0.11	YES	PASS	YES	12_0	88.60694070619662
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.896_sub.fa	90.23	0.21	YES	FAIL	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBAT2Refined-group-group_240416.900.fa	96.98	3.52	YES	PASS	NO		
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.1.fa	99.61	1.78	YES	PASS	YES	23_1	91.37934534712282
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.2.fa	97.01	2.76	YES	PASS	YES	22_0	84.86926672888045
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.5.fa	99.2	1.51	YES	PASS	YES	27_0	75.7297163269847
MG240416	run_20260601_144953	METAMDBG-MetaBinnerRefined-group-group_240416.6.fa	95.41	3.41	YES	FAIL	NO		

