authoritative_ID	source_table_ID	original_bin_ID	source_sample	Phylum	Class	Order	Family	Genus	Completeness	Contamination	integrity_check
SS-01	SS-29	METAMDBG-SemiBin2Refined-group-group_240905.0	MG240905	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Site-B15	90.45	0.09	OK
SS-02	SS-28	METAMDBG-MetaBinnerRefined-group-group_240416.5	MG240416	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JAJDFU01	99.2	1.51	OK
SS-03	SS-26	METAMDBG-MetaBinnerRefined-group-group_240416.1	MG240416	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JARQTN01	99.61	1.78	OK
SS-04	SS-11	METAMDBG-MaxBin2Refined-group-group_240416.001	MG240416	Actinomycetota	Actinomycetes	Jiangellales	Jiangellaceae	Jiangellaceae (fam.)	94.01	0.05	OK
SS-05	SS-14	METAMDBG-MaxBin2Refined-group-group_240416.014	MG240416	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Sva-07	95.57	0.83	OK
SS-06	SS-06	FLYE-MetaBAT2Refined-group-group_240416.722	MG240416	Actinomycetota	Acidimicrobiia	UBA5794	ZC4RG35	JAHEDH01	98.48	0.59	OK
SS-07	SS-21	METAMDBG-MetaBAT2Refined-group-group_240416.257	MG240416	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya	100.0	0.1	OK
SS-08	SS-05	FLYE-MetaBAT2Refined-group-group_240416.579	MG240416	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	MRBY01	Limnothrix	99.59	1.49	OK
SS-09	SS-12	METAMDBG-MaxBin2Refined-group-group_240416.002	MG240416	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	JABDQA01	97.79	1.39	OK
SS-10	SS-09	METAMDBG-CONCOCTRefined-group-group_240416.97	MG240416	Desulfobacterota	Syntrophobacteria	BM002	BM002	BM002	96.55	3.21	OK
SS-11	SS-17	METAMDBG-MetaBAT2Refined-group-group_240304.160	MG240304	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA5852	JABZFP01	97.1	3.58	OK
SS-12	SS-19	METAMDBG-MetaBAT2Refined-group-group_240416.112	MG240416	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	93.9	4.84	OK
